distribution,u_artifact_class,observations,denominator,proportion,projects,cohort,observational_unit
arch,U0_STATIC,62,351,0.17663817663817663,34,C1X,lineage-distribution upstream artifact
arch,U1_TEMPLATE_VALUE_ONLY,134,351,0.3817663817663818,85,C1X,lineage-distribution upstream artifact
arch,U2_TEMPLATE_STRUCTURAL,20,351,0.05698005698005698,6,C1X,lineage-distribution upstream artifact
arch,U4_NO_UPSTREAM_STATIC_OR_TEMPLATE_UNIT,62,351,0.17663817663817663,53,C1X,lineage-distribution upstream artifact
arch,U5_AMBIGUOUS_OR_UNRESOLVED,73,351,0.20797720797720798,53,C1X,lineage-distribution upstream artifact
debian,U0_STATIC,72,410,0.17560975609756097,33,C1X,lineage-distribution upstream artifact
debian,U1_TEMPLATE_VALUE_ONLY,205,410,0.5,116,C1X,lineage-distribution upstream artifact
debian,U2_TEMPLATE_STRUCTURAL,19,410,0.046341463414634146,5,C1X,lineage-distribution upstream artifact
debian,U4_NO_UPSTREAM_STATIC_OR_TEMPLATE_UNIT,73,410,0.17804878048780487,63,C1X,lineage-distribution upstream artifact
debian,U5_AMBIGUOUS_OR_UNRESOLVED,41,410,0.1,26,C1X,lineage-distribution upstream artifact
fedora,U0_STATIC,139,556,0.25,67,C1X,lineage-distribution upstream artifact
fedora,U1_TEMPLATE_VALUE_ONLY,248,556,0.4460431654676259,146,C1X,lineage-distribution upstream artifact
fedora,U2_TEMPLATE_STRUCTURAL,20,556,0.03597122302158273,6,C1X,lineage-distribution upstream artifact
fedora,U4_NO_UPSTREAM_STATIC_OR_TEMPLATE_UNIT,96,556,0.17266187050359713,83,C1X,lineage-distribution upstream artifact
fedora,U5_AMBIGUOUS_OR_UNRESOLVED,53,556,0.09532374100719425,30,C1X,lineage-distribution upstream artifact
ubuntu,U0_STATIC,121,535,0.2261682242990654,60,C1X,lineage-distribution upstream artifact
ubuntu,U1_TEMPLATE_VALUE_ONLY,240,535,0.4485981308411215,141,C1X,lineage-distribution upstream artifact
ubuntu,U2_TEMPLATE_STRUCTURAL,20,535,0.037383177570093455,5,C1X,lineage-distribution upstream artifact
ubuntu,U4_NO_UPSTREAM_STATIC_OR_TEMPLATE_UNIT,104,535,0.19439252336448598,90,C1X,lineage-distribution upstream artifact
ubuntu,U5_AMBIGUOUS_OR_UNRESOLVED,50,535,0.09345794392523364,31,C1X,lineage-distribution upstream artifact
