example_type,selection_rule,lineage_id,project,distribution,comparison_distribution,assessment_family,u_states,p_states,e_states,analysis_classification
MOST_COMMON_U_P_PATTERN,"most frequent family/category cell (RemoveIPC MODIFIED), lexical tie-break",https://ddclient.net::ddclient,https://ddclient.net,fedora,,RemoveIPC,"[""{\""description\"": \""Service runs as root, option does not apply\"", \""exposure\"": null, \""set\"": null}""]","[""{\""description\"": \""Service user may leave SysV IPC objects around\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service user may leave SysV IPC objects around\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,CapabilityBoundingSet,[],"[""{\""description\"": \""Service has audit subsystem access\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may establish wake locks\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may load BPF programs\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may change file ownership/access mode/capabilities unrestricted\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service may override UNIX file/IPC permission checks\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service may lock memory into RAM\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may send UNIX signals to arbitrary processes\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may create file leases\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may mark files immutable\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may adjust SMACK MAC\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may create device nodes\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service has network configuration privileges\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service has elevated networking privileges\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may change UID/GID identities/capabilities\"", \""exposure\"": \""0.3\"", \""set\"": false}"",""{\""description\"": \""Service has access to kernel logging\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service has administrator privileges\"", \""exposure\"": \""0.3\"", \""set\"": false}"",""{\""description\"": \""Service may issue reboot()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may issue chroot()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may load kernel modules\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service has privileges to change resource use parameters\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may use acct()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service has ptrace() debugging abilities\"", \""exposure\"": \""0.3\"", \""set\"": false}"",""{\""description\"": \""Service has raw I/O access\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service processes may change the system clock\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service may issue vhangup()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may program timers that wake up the system\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service has audit subsystem access\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may establish wake locks\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may load BPF programs\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may change file ownership/access mode/capabilities unrestricted\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service may override UNIX file/IPC permission checks\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service may lock memory into RAM\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may send UNIX signals to arbitrary processes\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may create file leases\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may mark files immutable\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may adjust SMACK MAC\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may create device nodes\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service has network configuration privileges\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service has elevated networking privileges\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may change UID/GID identities/capabilities\"", \""exposure\"": \""0.3\"", \""set\"": false}"",""{\""description\"": \""Service has access to kernel logging\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service has administrator privileges\"", \""exposure\"": \""0.3\"", \""set\"": false}"",""{\""description\"": \""Service may issue reboot()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may issue chroot()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may load kernel modules\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service has privileges to change resource use parameters\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may use acct()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service has ptrace() debugging abilities\"", \""exposure\"": \""0.3\"", \""set\"": false}"",""{\""description\"": \""Service has raw I/O access\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service processes may change the system clock\"", \""exposure\"": \""0.2\"", \""set\"": false}"",""{\""description\"": \""Service may issue vhangup()\"", \""exposure\"": \""0.1\"", \""set\"": false}"",""{\""description\"": \""Service may program timers that wake up the system\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,DeviceAllow,[],"[""{\""description\"": \""Service has no device ACL\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service has no device ACL\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,LockPersonality,[],"[""{\""description\"": \""Service may change ABI personality\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service may change ABI personality\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,MemoryDenyWriteExecute,[],"[""{\""description\"": \""Service may create writable executable memory mappings\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service may create writable executable memory mappings\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,NoNewPrivileges,[],"[""{\""description\"": \""Service processes may acquire new privileges\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service processes may acquire new privileges\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,PrivateDevices,[],"[""{\""description\"": \""Service potentially has access to hardware devices\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service potentially has access to hardware devices\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,PrivateTmp,[],"[""{\""description\"": \""Service has access to other software's temporary files\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service has access to other software's temporary files\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,PrivateUsers,[],"[""{\""description\"": \""Service has access to other users\"", \""exposure\"": \""0.2\"", \""set\"": false}""]","[""{\""description\"": \""Service has access to other users\"", \""exposure\"": \""0.2\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
MAXIMUM_CROSS_FAMILY_MAGNITUDE,"maximum differing grouped-family count, then proportion, pair, and lineage lexical tie-break",https://i2pd.website::i2pd,https://i2pd.website,debian,arch,ProcSubset,[],"[""{\""description\"": \""Service has full access to non-process /proc files (/proc subset=)\"", \""exposure\"": \""0.1\"", \""set\"": false}""]","[""{\""description\"": \""Service has full access to non-process /proc files (/proc subset=)\"", \""exposure\"": \""0.1\"", \""set\"": false}""]",post-hoc explanatory example selected by pre-declared deterministic rule
