pair,lineage_id,project,different_families,comparable_families,disagreement_proportion,magnitude_bin,analysis_classification,observational_unit
Debian ↔ Fedora,https://arthurdejong.org/nss-pam-ldapd::nslcd,https://arthurdejong.org/nss-pam-ldapd,9,36,0.25,≥4,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://avahi.org::avahi-daemon,https://avahi.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://avahi.org::avahi-dnsconfd,https://avahi.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://c-icap.sourceforge.net::c-icap,https://c-icap.sourceforge.net,3,36,0.08333333333333333,2–3,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://ceph.com::ceph-crash,https://ceph.com,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://ceph.com::rbdmap,https://ceph.com,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://christophe.varoqui.free.fr::multipathd,https://christophe.varoqui.free.fr,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://chrony-project.org::upstream-unit::examples/chrony-wait.service,https://chrony-project.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://cockpit-project.org::cockpit-tls,https://cockpit-project.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://cockpit-project.org::cockpit-ws,https://cockpit-project.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://cockpit-project.org::update-issue,https://cockpit-project.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://cockpit-project.org::upstream-unit::src/systemd/cockpit-session-socket-user.service,https://cockpit-project.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://cockpit-project.org::upstream-unit::src/systemd/cockpit-wsinstance-socket-user.service,https://cockpit-project.org,4,36,0.1111111111111111,≥4,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://code.kryo.se/iodine::iodined,https://code.kryo.se/iodine,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://collectd.org::collectd,https://collectd.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://conntrack-tools.netfilter.org::conntrackd,https://conntrack-tools.netfilter.org,2,36,0.05555555555555555,2–3,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://corosync.github.io/corosync::corosync,https://corosync.github.io/corosync,1,36,0.027777777777777776,1,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://corosync.github.io/corosync::corosync-notifyd,https://corosync.github.io/corosync,1,36,0.027777777777777776,1,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://devel.freebsoft.org/speechd::speech-dispatcher,https://devel.freebsoft.org/speechd,3,36,0.08333333333333333,2–3,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://dnsdist.org::dnsdist,https://dnsdist.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://dun.github.io/munge::munged,https://dun.github.io/munge,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://fastnetmon.com::upstream-unit::src/packaging/fedora/fastnetmon.service,https://fastnetmon.com,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://flatpak.org::flatpak-system-helper,https://flatpak.org,0,36,0.0,0,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,https://gerbera.io::gerbera,https://gerbera.io,1,36,0.027777777777777776,1,derived descriptive analysis,cross-family lineage
