pair,source_category,numerator,denominator,projects,proportion,ci_low,ci_high,analysis_classification,observational_unit
Debian ↔ Fedora,UPSTREAM_DIFFERENCE_INHERITED,60,12060,178,0.004975124378109453,0.0006652369863447709,0.012159876877341299,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Fedora,DOWNSTREAM_INTRODUCED,35,12060,178,0.002902155887230514,0.0010548172291142048,0.005968002301976676,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Fedora,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,12060,178,0.0,0.0,0.0,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Fedora,DOWNSTREAM_CONVERGED,5,12060,178,0.00041459369817578774,0.0,0.0012077294685990338,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Fedora,NO_FINAL_DIFFERENCE,7061,12060,178,0.5854892205638474,0.5103896264431753,0.6921995404944186,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Fedora,UNRESOLVED,4899,12060,178,0.40621890547263684,0.29564871746112237,0.4823962896879563,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Arch,UPSTREAM_DIFFERENCE_INHERITED,28,6912,130,0.004050925925925926,0.0006105006105006105,0.009058279108744943,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Arch,DOWNSTREAM_INTRODUCED,14,6912,130,0.002025462962962963,0.00013683634373289546,0.005961494638357883,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Arch,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,6912,130,0.0,0.0,0.0,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Arch,DOWNSTREAM_CONVERGED,1,6912,130,0.00014467592592592592,0.0,0.00047080979284369113,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Arch,NO_FINAL_DIFFERENCE,3380,6912,130,0.48900462962962965,0.38027925019024095,0.5955286112761601,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Debian ↔ Arch,UNRESOLVED,3489,6912,130,0.5047743055555556,0.3940536013400335,0.6113850326420888,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Fedora,UPSTREAM_DIFFERENCE_INHERITED,69,15624,239,0.004416282642089093,0.0008699489653243848,0.010000160102465575,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Fedora,DOWNSTREAM_INTRODUCED,46,15624,239,0.002944188428059396,0.0012904576951684149,0.0055073551958581875,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Fedora,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,15624,239,0.0,0.0,0.0,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Fedora,DOWNSTREAM_CONVERGED,16,15624,239,0.0010240655401945725,0.00010703318675981297,0.002578197087449858,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Fedora,NO_FINAL_DIFFERENCE,9346,15624,239,0.5981822836661547,0.529666052353334,0.6834758046461309,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Fedora,UNRESOLVED,6147,15624,239,0.3934331797235023,0.3100491558250179,0.4606575434960115,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Arch,UPSTREAM_DIFFERENCE_INHERITED,25,8568,152,0.0029178338001867414,0.00024047432452604868,0.006836181769187727,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Arch,DOWNSTREAM_INTRODUCED,14,8568,152,0.0016339869281045752,0.00010766580534022394,0.004710198844030365,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Arch,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,8568,152,0.0,0.0,0.0,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Arch,DOWNSTREAM_CONVERGED,0,8568,152,0.0,0.0,0.0,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
Ubuntu ↔ Arch,NO_FINAL_DIFFERENCE,4515,8568,152,0.5269607843137255,0.42599980525865483,0.6225303940048857,post-hoc exploratory/explanatory,cross-family lineage-assessment-family
