distribution,assessment_family,added,removed,modified,total_changed,denominator,projects,change_rate,ci_low,ci_high,analysis_classification,observational_unit
ALL,AmbientCapabilities,3,1,0,4,1096,235,0.0036496350364963502,0.0,0.009153842924023254,derived descriptive analysis,lineage-distribution assessment family
ALL,CapabilityBoundingSet,7,9,0,16,1128,236,0.014184397163120567,0.005927148994888199,0.02566753631363699,derived descriptive analysis,lineage-distribution assessment family
ALL,Delegate,0,0,0,0,1099,235,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ALL,DeviceAllow,2,2,2,6,1096,235,0.005474452554744526,0.0016219943457745994,0.01085910339499549,derived descriptive analysis,lineage-distribution assessment family
ALL,IPAddressDeny,0,0,0,0,1096,235,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ALL,KeyringMode,0,0,0,0,1100,236,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ALL,LockPersonality,5,1,0,6,1100,236,0.005454545454545455,0.00162067997880967,0.010827038322795853,derived descriptive analysis,lineage-distribution assessment family
ALL,MemoryDenyWriteExecute,4,3,0,7,1100,236,0.006363636363636364,0.001716481858530226,0.012795423821269327,derived descriptive analysis,lineage-distribution assessment family
ALL,NoNewPrivileges,6,3,0,9,1100,236,0.008181818181818182,0.0027522305098428342,0.015510246290863812,derived descriptive analysis,lineage-distribution assessment family
ALL,NotifyAccess,0,1,0,1,1100,236,0.0009090909090909091,0.0,0.0031089697028392465,derived descriptive analysis,lineage-distribution assessment family
ALL,PrivateDevices,4,2,0,6,1100,236,0.005454545454545455,0.0016568639993651128,0.01075291070284127,derived descriptive analysis,lineage-distribution assessment family
ALL,PrivateMounts,0,0,0,0,1096,235,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ALL,PrivateNetwork,1,0,0,1,1096,235,0.0009124087591240876,0.0,0.003195058663875257,derived descriptive analysis,lineage-distribution assessment family
ALL,PrivateTmp,15,5,5,25,1100,236,0.022727272727272728,0.009840905424355619,0.039875072303326445,derived descriptive analysis,lineage-distribution assessment family
ALL,PrivateUsers,1,0,0,1,1096,235,0.0009124087591240876,0.0,0.0031416087377359285,derived descriptive analysis,lineage-distribution assessment family
ALL,ProcSubset,0,0,0,0,1096,235,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectClock,3,0,0,3,1100,236,0.0027272727272727275,0.0,0.006487456461355305,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectControlGroups,6,4,0,10,1104,236,0.009057971014492754,0.003361273980624996,0.01646468132414386,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectHome,9,3,7,19,1104,236,0.017210144927536232,0.00805004445276309,0.029683641588708103,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectHostname,5,0,0,5,1104,236,0.004528985507246377,0.000949645091011315,0.009372144447047795,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectKernelLogs,3,0,0,3,1104,236,0.002717391304347826,0.0,0.006358145750533674,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectKernelModules,6,4,0,10,1104,236,0.009057971014492754,0.003472222222222222,0.01661138192870425,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectKernelTunables,5,6,0,11,1104,236,0.009963768115942028,0.0038364231125014225,0.017992613636363636,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectProc,0,0,0,0,1100,236,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ALL,ProtectSystem,5,5,11,21,1104,236,0.019021739130434784,0.009569149276807524,0.03188717727229096,derived descriptive analysis,lineage-distribution assessment family
ALL,RemoveIPC,3,2,26,31,1008,227,0.030753968253968252,0.016743242493200867,0.049445543352833105,derived descriptive analysis,lineage-distribution assessment family
ALL,RestrictAddressFamilies,3,5,0,8,1104,236,0.007246376811594203,0.002423165615717338,0.014113364103182896,derived descriptive analysis,lineage-distribution assessment family
ALL,RestrictNamespaces,4,2,0,6,1100,236,0.005454545454545455,0.001716664643945997,0.010661446581240807,derived descriptive analysis,lineage-distribution assessment family
ALL,RestrictRealtime,4,4,0,8,1104,236,0.007246376811594203,0.0023826548612460594,0.014205219294462643,derived descriptive analysis,lineage-distribution assessment family
ALL,RestrictSUIDSGID,4,2,0,6,1100,236,0.005454545454545455,0.0010319386033995146,0.011753183153770812,derived descriptive analysis,lineage-distribution assessment family
ALL,RootDirectoryOrRootImage,0,0,5,5,1096,235,0.004562043795620438,0.0,0.011739646663478185,derived descriptive analysis,lineage-distribution assessment family
