distribution,assessment_id,assessment_family,enabled,lineages,projects,proportion,ci_low,ci_high,cohort,observational_unit
arch,AmbientCapabilities,AmbientCapabilities,323,351,219,0.9202279202279202,0.8848684210526315,0.949438202247191,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_AUDIT,CapabilityBoundingSet,74,351,219,0.21082621082621084,0.14465045261206239,0.28493150684931506,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_BLOCK_SUSPEND,CapabilityBoundingSet,74,351,219,0.21082621082621084,0.144169790138081,0.2857142857142857,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_BPF,CapabilityBoundingSet,71,351,219,0.2022792022792023,0.1356442673078009,0.2784136730205278,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_CHOWN_FSETID_SETFCAP,CapabilityBoundingSet,63,351,219,0.1794871794871795,0.11964962121212122,0.25,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_DAC_FOWNER_IPC_OWNER,CapabilityBoundingSet,57,351,219,0.1623931623931624,0.1090897001934236,0.22185528429797405,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_IPC_LOCK,CapabilityBoundingSet,68,351,219,0.19373219373219372,0.13249831081081082,0.266235145873956,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_KILL,CapabilityBoundingSet,71,351,219,0.2022792022792023,0.13757836123607936,0.2758673577321768,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_LEASE,CapabilityBoundingSet,74,351,219,0.21082621082621084,0.14457210284436717,0.2857142857142857,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_LINUX_IMMUTABLE,CapabilityBoundingSet,74,351,219,0.21082621082621084,0.14457831325301204,0.2879591623036649,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_MAC,CapabilityBoundingSet,74,351,219,0.21082621082621084,0.14479744847467838,0.2869578352817549,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_MKNOD,CapabilityBoundingSet,92,351,219,0.2621082621082621,0.19475936692506463,0.3375,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_NET_ADMIN,CapabilityBoundingSet,70,351,219,0.19943019943019943,0.1357683094957524,0.27745704440068597,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_NET_BIND_SERVICE_BROADCAST_RAW),CapabilityBoundingSet,49,351,219,0.1396011396011396,0.08253736068895644,0.20801091811414374,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SET_UID_GID_PCAP,CapabilityBoundingSet,64,351,219,0.18233618233618235,0.1239868330033633,0.2488255559606269,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYSLOG,CapabilityBoundingSet,90,351,219,0.2564102564102564,0.1875,0.333353808353808,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_ADMIN,CapabilityBoundingSet,64,351,219,0.18233618233618235,0.1236247947454844,0.25588410364145653,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_BOOT,CapabilityBoundingSet,75,351,219,0.21367521367521367,0.1467065868263473,0.29058154799819774,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_CHROOT,CapabilityBoundingSet,73,351,219,0.20797720797720798,0.14240810512418645,0.28418301114717087,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_MODULE,CapabilityBoundingSet,93,351,219,0.26495726495726496,0.19390367736312988,0.34139157026011346,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_NICE_RESOURCE,CapabilityBoundingSet,68,351,219,0.19373219373219372,0.13437479812661499,0.2631615804216423,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_PACCT,CapabilityBoundingSet,74,351,219,0.21082621082621084,0.1440677966101695,0.2865333701972218,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_PTRACE,CapabilityBoundingSet,73,351,219,0.20797720797720798,0.14252308230619892,0.28693243577075095,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_RAWIO,CapabilityBoundingSet,93,351,219,0.26495726495726496,0.1954532392894462,0.3423443898443898,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_TIME,CapabilityBoundingSet,86,351,219,0.245014245014245,0.1758763514542409,0.32432633526383525,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_SYS_TTY_CONFIG,CapabilityBoundingSet,73,351,219,0.20797720797720798,0.14198688950999241,0.2875674284903116,C1X,lineage-distribution
arch,CapabilityBoundingSet_CAP_WAKE_ALARM,CapabilityBoundingSet,87,351,219,0.24786324786324787,0.1778336197021764,0.3294460641399417,C1X,lineage-distribution
arch,Delegate,Delegate,348,351,219,0.9914529914529915,0.9768735570198352,1.0,C1X,lineage-distribution
arch,DeviceAllow,DeviceAllow,26,351,219,0.07407407407407407,0.045973718012054146,0.10764022435897434,C1X,lineage-distribution
arch,IPAddressDeny,IPAddressDeny,10,351,219,0.02849002849002849,0.008379304710477584,0.05421803493041934,C1X,lineage-distribution
