distribution,assessment_family,enabled,lineages,projects,proportion,ci_low,ci_high,cohort,observational_unit
arch,AmbientCapabilities,323,351,219,0.9202279202279202,0.8855421686746988,0.9498436967892351,C1X,lineage-distribution
arch,CapabilityBoundingSet,112,351,219,0.3190883190883191,0.24285367545076283,0.4012055434585374,C1X,lineage-distribution
arch,Delegate,348,351,219,0.9914529914529915,0.9761194029850746,1.0,C1X,lineage-distribution
arch,DeviceAllow,26,351,219,0.07407407407407407,0.04582112817848212,0.10802469135802469,C1X,lineage-distribution
arch,IPAddressDeny,10,351,219,0.02849002849002849,0.008333333333333333,0.05479541471440322,C1X,lineage-distribution
arch,KeyringMode,350,351,219,0.9971509971509972,0.9907120743034056,1.0,C1X,lineage-distribution
arch,LockPersonality,61,351,219,0.1737891737891738,0.12058634992458522,0.23448488718603658,C1X,lineage-distribution
arch,MemoryDenyWriteExecute,52,351,219,0.14814814814814814,0.10684798510440219,0.19697082767978288,C1X,lineage-distribution
arch,NoNewPrivileges,76,351,219,0.21652421652421652,0.1620945918171604,0.28295842019716616,C1X,lineage-distribution
arch,NotifyAccess,346,351,219,0.9857549857549858,0.9623652751423151,1.0,C1X,lineage-distribution
arch,PrivateDevices,59,351,219,0.16809116809116809,0.12171774570342589,0.22089849664719874,C1X,lineage-distribution
arch,PrivateMounts,350,351,219,0.9971509971509972,0.9907692307692307,1.0,C1X,lineage-distribution
arch,PrivateNetwork,25,351,219,0.07122507122507123,0.03539562727745966,0.11585365853658537,C1X,lineage-distribution
arch,PrivateTmp,78,351,219,0.2222222222222222,0.16565688680648522,0.28622692802251753,C1X,lineage-distribution
arch,PrivateUsers,18,351,219,0.05128205128205128,0.02459016393442623,0.08544763480819101,C1X,lineage-distribution
arch,ProcSubset,11,351,219,0.03133903133903134,0.008379304710477584,0.06213059539330725,C1X,lineage-distribution
arch,ProtectClock,43,351,219,0.1225071225071225,0.08136482939632546,0.1730233728717118,C1X,lineage-distribution
arch,ProtectControlGroups,68,351,219,0.19373219373219372,0.14133260869565217,0.2557379404560015,C1X,lineage-distribution
arch,ProtectHome,64,351,219,0.18233618233618235,0.13081283542039357,0.24272077297682929,C1X,lineage-distribution
arch,ProtectHostname,58,351,219,0.16524216524216523,0.11206529490729088,0.2258086732426908,C1X,lineage-distribution
arch,ProtectKernelLogs,52,351,219,0.14814814814814814,0.09943140284423178,0.20303391053391048,C1X,lineage-distribution
arch,ProtectKernelModules,65,351,219,0.18518518518518517,0.13349706129303104,0.24404761904761904,C1X,lineage-distribution
arch,ProtectKernelTunables,63,351,219,0.1794871794871795,0.12834068692412032,0.23825104493207933,C1X,lineage-distribution
arch,ProtectProc,27,351,219,0.07692307692307693,0.04262271795827124,0.11782501395116131,C1X,lineage-distribution
arch,ProtectSystem,50,351,219,0.14245014245014245,0.09818488771677455,0.19435954371299194,C1X,lineage-distribution
arch,RemoveIPC,34,351,219,0.09686609686609686,0.05665588754075579,0.14759291010194622,C1X,lineage-distribution
arch,RestrictAddressFamilies,57,351,219,0.1623931623931624,0.11363636363636363,0.2188472329634359,C1X,lineage-distribution
arch,RestrictNamespaces,54,351,219,0.15384615384615385,0.10714052592316299,0.2075501838567725,C1X,lineage-distribution
arch,RestrictRealtime,69,351,219,0.19658119658119658,0.14095654586865017,0.2607481001619533,C1X,lineage-distribution
arch,RestrictSUIDSGID,52,351,219,0.14814814814814814,0.10271862496938026,0.20189509474168002,C1X,lineage-distribution
arch,RootDirectoryOrRootImage,0,351,219,0.0,0.0,0.0,C1X,lineage-distribution
arch,SupplementaryGroups,107,351,219,0.30484330484330485,0.23255813953488372,0.38010746851932253,C1X,lineage-distribution
arch,SystemCallArchitectures,41,351,219,0.1168091168091168,0.07670019712430427,0.16364381520119214,C1X,lineage-distribution
arch,SystemCallFilter,44,351,219,0.12535612535612536,0.08490503478304388,0.17559523809523808,C1X,lineage-distribution
arch,UMask,11,351,219,0.03133903133903134,0.012232415902140673,0.054549599336833315,C1X,lineage-distribution
arch,UserOrDynamicUser,110,351,219,0.31339031339031337,0.23895814159593687,0.3902475646378085,C1X,lineage-distribution
debian,AmbientCapabilities,388,410,232,0.9463414634146341,0.9195046439628483,0.9690402476780186,C1X,lineage-distribution
debian,CapabilityBoundingSet,110,410,232,0.2682926829268293,0.2124220840832408,0.3341293148611677,C1X,lineage-distribution
debian,Delegate,405,410,232,0.9878048780487805,0.9742388758782201,0.9975429975429976,C1X,lineage-distribution
debian,DeviceAllow,28,410,232,0.06829268292682927,0.041791044776119404,0.09593457414678339,C1X,lineage-distribution
debian,IPAddressDeny,19,410,232,0.046341463414634146,0.009523809523809525,0.08188976377952756,C1X,lineage-distribution
debian,KeyringMode,409,410,232,0.9975609756097561,0.9909903126017584,1.0,C1X,lineage-distribution
debian,LockPersonality,54,410,232,0.13170731707317074,0.07361837816151519,0.18133119711534817,C1X,lineage-distribution
debian,MemoryDenyWriteExecute,64,410,232,0.15609756097560976,0.1016468253968254,0.19870884716884574,C1X,lineage-distribution
debian,NoNewPrivileges,76,410,232,0.18536585365853658,0.13053611549142466,0.23045434503767837,C1X,lineage-distribution
debian,NotifyAccess,399,410,232,0.973170731707317,0.9521516775062315,0.9895842344290657,C1X,lineage-distribution
debian,PrivateDevices,54,410,232,0.13170731707317074,0.09762517276039703,0.17353201248344993,C1X,lineage-distribution
debian,PrivateMounts,410,410,232,1.0,1.0,1.0,C1X,lineage-distribution
debian,PrivateNetwork,16,410,232,0.03902439024390244,0.019998575498575498,0.05828348670756644,C1X,lineage-distribution
debian,PrivateTmp,72,410,232,0.17560975609756097,0.13220921127562643,0.23975082795286806,C1X,lineage-distribution
debian,PrivateUsers,12,410,232,0.02926829268292683,0.01265765662843303,0.0547112462006079,C1X,lineage-distribution
debian,ProcSubset,3,410,232,0.007317073170731708,0.0,0.018072289156626505,C1X,lineage-distribution
debian,ProtectClock,36,410,232,0.08780487804878048,0.05979150638559779,0.12270315491174381,C1X,lineage-distribution
debian,ProtectControlGroups,69,410,232,0.16829268292682928,0.12999858757062147,0.21068156497416193,C1X,lineage-distribution
debian,ProtectHome,63,410,232,0.15365853658536585,0.1159022162324049,0.20656010928961746,C1X,lineage-distribution
debian,ProtectHostname,48,410,232,0.11707317073170732,0.07058823529411765,0.1556484139159697,C1X,lineage-distribution
debian,ProtectKernelLogs,51,410,232,0.12439024390243902,0.07669542772861357,0.16258351675798863,C1X,lineage-distribution
debian,ProtectKernelModules,67,410,232,0.16341463414634147,0.12228260869565218,0.20388402164985361,C1X,lineage-distribution
debian,ProtectKernelTunables,57,410,232,0.13902439024390245,0.10169375116409016,0.18589975845410625,C1X,lineage-distribution
debian,ProtectProc,30,410,232,0.07317073170731707,0.03236222158766419,0.10774615722441806,C1X,lineage-distribution
debian,ProtectSystem,43,410,232,0.1048780487804878,0.07433915724563206,0.14324382405327965,C1X,lineage-distribution
debian,RemoveIPC,21,410,232,0.05121951219512195,0.02702537095919449,0.08596222356372166,C1X,lineage-distribution
debian,RestrictAddressFamilies,60,410,232,0.14634146341463414,0.08900403109240998,0.19389670331001116,C1X,lineage-distribution
debian,RestrictNamespaces,48,410,232,0.11707317073170732,0.07250645825123693,0.15453462722691133,C1X,lineage-distribution
debian,RestrictRealtime,65,410,232,0.15853658536585366,0.10344827586206896,0.20383447378280828,C1X,lineage-distribution
debian,RestrictSUIDSGID,46,410,232,0.11219512195121951,0.061537433155080215,0.15404778620053164,C1X,lineage-distribution
debian,RootDirectoryOrRootImage,0,410,232,0.0,0.0,0.0,C1X,lineage-distribution
debian,SupplementaryGroups,89,410,232,0.21707317073170732,0.1592025029248059,0.2961812927577258,C1X,lineage-distribution
debian,SystemCallArchitectures,49,410,232,0.11951219512195121,0.05833272594752187,0.1737771577570538,C1X,lineage-distribution
debian,SystemCallFilter,50,410,232,0.12195121951219512,0.07165064402967088,0.16176758562432803,C1X,lineage-distribution
debian,UMask,6,410,232,0.014634146341463415,0.002873152709359606,0.032185761957730784,C1X,lineage-distribution
debian,UserOrDynamicUser,93,410,232,0.22682926829268293,0.17057195226873154,0.30120575469580185,C1X,lineage-distribution
fedora,AmbientCapabilities,538,556,313,0.9676258992805755,0.9496247261399425,0.9838391984359727,C1X,lineage-distribution
fedora,CapabilityBoundingSet,118,556,313,0.21223021582733814,0.16513718915422718,0.26237865380898173,C1X,lineage-distribution
fedora,Delegate,553,556,313,0.9946043165467626,0.9888637285665791,1.0,C1X,lineage-distribution
fedora,DeviceAllow,30,556,313,0.0539568345323741,0.03632478632478633,0.07307012817922641,C1X,lineage-distribution
fedora,IPAddressDeny,25,556,313,0.044964028776978415,0.014226202231657943,0.07580227063234858,C1X,lineage-distribution
fedora,KeyringMode,554,556,313,0.9964028776978417,0.9900793650793651,1.0,C1X,lineage-distribution
fedora,LockPersonality,66,556,313,0.11870503597122302,0.0718562874251497,0.15931733249752875,C1X,lineage-distribution
fedora,MemoryDenyWriteExecute,68,556,313,0.1223021582733813,0.07818684555850139,0.1615055863725392,C1X,lineage-distribution
fedora,NoNewPrivileges,74,556,313,0.13309352517985612,0.0889739108908814,0.17214861064321862,C1X,lineage-distribution
fedora,NotifyAccess,540,556,313,0.9712230215827338,0.950177570189431,0.9881915119216655,C1X,lineage-distribution
fedora,PrivateDevices,55,556,313,0.09892086330935251,0.07303342297786995,0.12903364610515794,C1X,lineage-distribution
fedora,PrivateMounts,555,556,313,0.9982014388489209,0.9936305732484076,1.0,C1X,lineage-distribution
fedora,PrivateNetwork,29,556,313,0.052158273381294966,0.030118972885530098,0.07904411764705882,C1X,lineage-distribution
fedora,PrivateTmp,87,556,313,0.1564748201438849,0.11991659947591211,0.20534390693836507,C1X,lineage-distribution
fedora,PrivateUsers,13,556,313,0.023381294964028777,0.008264178612434208,0.04573804573804574,C1X,lineage-distribution
fedora,ProcSubset,8,556,313,0.014388489208633094,0.0017057688343221022,0.035270791845107646,C1X,lineage-distribution
fedora,ProtectClock,39,556,313,0.07014388489208633,0.04597701149425287,0.09756201971266287,C1X,lineage-distribution
fedora,ProtectControlGroups,77,556,313,0.13848920863309352,0.10467176893134508,0.17434922365739883,C1X,lineage-distribution
fedora,ProtectHome,66,556,313,0.11870503597122302,0.0877535321821036,0.15873917748917735,C1X,lineage-distribution
fedora,ProtectHostname,55,556,313,0.09892086330935251,0.05823293172690763,0.13366215631350867,C1X,lineage-distribution
fedora,ProtectKernelLogs,54,556,313,0.09712230215827339,0.05986354451037942,0.1303199250765792,C1X,lineage-distribution
