pair,family_type,assessment_family,projects,lineages,left_enabled,right_enabled,left_proportion,right_proportion,left_minus_right_percentage_points,ci_low_percentage_points,ci_high_percentage_points,cohort,observational_unit
Debian ↔ Fedora,CROSS_FAMILY,AmbientCapabilities,178,335,319,321,0.9522388059701492,0.9582089552238806,-0.5970149253731344,-1.6877993499828943,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet,178,335,85,77,0.2537313432835821,0.2298507462686567,2.3880597014925375,0.0,5.579399141630901,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,Delegate,178,335,332,332,0.991044776119403,0.991044776119403,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,DeviceAllow,178,335,18,18,0.05373134328358209,0.05373134328358209,0.0,-1.7543859649122806,1.2659232469359036,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,IPAddressDeny,178,335,19,19,0.056716417910447764,0.056716417910447764,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,KeyringMode,178,335,334,334,0.9970149253731343,0.9970149253731343,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,LockPersonality,178,335,46,40,0.1373134328358209,0.11940298507462686,1.791044776119403,0.0,4.417670682730924,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,MemoryDenyWriteExecute,178,335,56,52,0.16716417910447762,0.15522388059701492,1.1940298507462688,-1.1594202898550725,4.132309078481327,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,NoNewPrivileges,178,335,60,52,0.1791044776119403,0.15522388059701492,2.3880597014925375,0.4015863051404013,5.384615384615385,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,NotifyAccess,178,335,325,324,0.9701492537313433,0.9671641791044776,0.2985074626865672,0.0,1.1764705882352942,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,PrivateDevices,178,335,38,31,0.11343283582089553,0.09253731343283582,2.0895522388059704,0.23916375400138,4.59778929553628,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,PrivateMounts,178,335,335,335,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,PrivateNetwork,178,335,13,13,0.03880597014925373,0.03880597014925373,0.0,0.0,0.0,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,PrivateTmp,178,335,56,47,0.16716417910447762,0.14029850746268657,2.6865671641791042,0.0,6.593406593406594,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,PrivateUsers,178,335,9,7,0.026865671641791045,0.020895522388059702,0.5970149253731344,0.0,2.290131017738795,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProcSubset,178,335,3,2,0.008955223880597015,0.005970149253731343,0.2985074626865672,0.0,1.1764705882352942,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectClock,178,335,31,22,0.09253731343283582,0.06567164179104477,2.6865671641791042,0.7152820355610056,5.803571428571429,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectControlGroups,178,335,59,50,0.1761194029850746,0.14925373134328357,2.6865671641791042,0.38019213042977307,5.809128630705394,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectHome,178,335,49,39,0.14626865671641792,0.11641791044776119,2.9850746268656714,0.9460774197352518,6.250612745098031,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectHostname,178,335,42,34,0.1253731343283582,0.10149253731343283,2.3880597014925375,0.5141058598642145,5.263157894736842,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectKernelLogs,178,335,46,37,0.1373134328358209,0.11044776119402985,2.6865671641791042,0.8107834555202977,5.327868852459016,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectKernelModules,178,335,56,48,0.16716417910447762,0.14328358208955225,2.3880597014925375,0.0,5.376464631853029,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectKernelTunables,178,335,43,35,0.12835820895522387,0.1044776119402985,2.3880597014925375,0.22469396475881662,5.517650265776196,C1X,paired lineage
Debian ↔ Fedora,CROSS_FAMILY,ProtectProc,178,335,23,19,0.06865671641791045,0.056716417910447764,1.1940298507462688,0.0,2.7777777777777777,C1X,paired lineage
