distribution,assessment_family,enabled_projects,projects,proportion,cohort,observational_unit
arch,AmbientCapabilities,196,219,0.8949771689497716,C1X,upstream project (any matched lineage enabled)
arch,CapabilityBoundingSet,79,219,0.3607305936073059,C1X,upstream project (any matched lineage enabled)
arch,Delegate,218,219,0.9954337899543378,C1X,upstream project (any matched lineage enabled)
arch,DeviceAllow,24,219,0.1095890410958904,C1X,upstream project (any matched lineage enabled)
arch,IPAddressDeny,7,219,0.0319634703196347,C1X,upstream project (any matched lineage enabled)
arch,KeyringMode,219,219,1.0,C1X,upstream project (any matched lineage enabled)
arch,LockPersonality,48,219,0.2191780821917808,C1X,upstream project (any matched lineage enabled)
arch,MemoryDenyWriteExecute,46,219,0.2100456621004566,C1X,upstream project (any matched lineage enabled)
arch,NoNewPrivileges,65,219,0.2968036529680365,C1X,upstream project (any matched lineage enabled)
arch,NotifyAccess,218,219,0.9954337899543378,C1X,upstream project (any matched lineage enabled)
arch,PrivateDevices,51,219,0.2328767123287671,C1X,upstream project (any matched lineage enabled)
arch,PrivateMounts,219,219,1.0,C1X,upstream project (any matched lineage enabled)
arch,PrivateNetwork,16,219,0.0730593607305936,C1X,upstream project (any matched lineage enabled)
arch,PrivateTmp,67,219,0.3059360730593607,C1X,upstream project (any matched lineage enabled)
arch,PrivateUsers,15,219,0.0684931506849315,C1X,upstream project (any matched lineage enabled)
arch,ProcSubset,7,219,0.0319634703196347,C1X,upstream project (any matched lineage enabled)
arch,ProtectClock,35,219,0.1598173515981735,C1X,upstream project (any matched lineage enabled)
arch,ProtectControlGroups,56,219,0.2557077625570776,C1X,upstream project (any matched lineage enabled)
arch,ProtectHome,52,219,0.2374429223744292,C1X,upstream project (any matched lineage enabled)
arch,ProtectHostname,43,219,0.1963470319634703,C1X,upstream project (any matched lineage enabled)
arch,ProtectKernelLogs,40,219,0.182648401826484,C1X,upstream project (any matched lineage enabled)
arch,ProtectKernelModules,53,219,0.2420091324200913,C1X,upstream project (any matched lineage enabled)
arch,ProtectKernelTunables,50,219,0.228310502283105,C1X,upstream project (any matched lineage enabled)
arch,ProtectProc,21,219,0.0958904109589041,C1X,upstream project (any matched lineage enabled)
arch,ProtectSystem,44,219,0.2009132420091324,C1X,upstream project (any matched lineage enabled)
arch,RemoveIPC,24,219,0.1095890410958904,C1X,upstream project (any matched lineage enabled)
arch,RestrictAddressFamilies,43,219,0.1963470319634703,C1X,upstream project (any matched lineage enabled)
arch,RestrictNamespaces,44,219,0.2009132420091324,C1X,upstream project (any matched lineage enabled)
arch,RestrictRealtime,55,219,0.2511415525114155,C1X,upstream project (any matched lineage enabled)
