transition,distribution,category,numerator,denominator,projects,proportion,ci_low,ci_high,cohort,observational_unit
P_E,arch,INHERITED_SAME,12636,12636,219,1.0,1.0,1.0,C1X,lineage-distribution assessment family
P_E,debian,INHERITED_SAME,14760,14760,232,1.0,1.0,1.0,C1X,lineage-distribution assessment family
P_E,fedora,INHERITED_SAME,20016,20016,313,1.0,1.0,1.0,C1X,lineage-distribution assessment family
P_E,ubuntu,INHERITED_SAME,18900,18900,302,1.0,1.0,1.0,C1X,lineage-distribution assessment family
U_P,arch,ADDED,75,7032,116,0.010665529010238909,0.00220034085973672,0.02275797777366781,C3X,lineage-distribution assessment family
U_P,arch,INHERITED_SAME,6940,7032,116,0.9869169510807736,0.972704687999578,0.9966076204148704,C3X,lineage-distribution assessment family
U_P,arch,MODIFIED,13,7032,116,0.0018486916951080774,0.0003945023690273342,0.0038667425888174512,C3X,lineage-distribution assessment family
U_P,arch,REMOVED,4,7032,116,0.0005688282138794084,0.0001297521733489036,0.0011883939004184688,C3X,lineage-distribution assessment family
U_P,debian,ADDED,15,8595,145,0.0017452006980802793,0.0005658878506463376,0.003458388673051564,C3X,lineage-distribution assessment family
U_P,debian,INHERITED_SAME,8542,8595,145,0.9938336242001163,0.9892948315965968,0.9970855153240666,C3X,lineage-distribution assessment family
U_P,debian,MODIFIED,15,8595,145,0.0017452006980802793,0.0006329063867787393,0.003424657534246575,C3X,lineage-distribution assessment family
U_P,debian,REMOVED,23,8595,145,0.0026759744037230947,0.0007923725883989748,0.005643945462274083,C3X,lineage-distribution assessment family
U_P,fedora,ADDED,41,12459,203,0.0032907938036760573,0.0012522828867238987,0.006343933022452285,C3X,lineage-distribution assessment family
U_P,fedora,INHERITED_SAME,12370,12459,203,0.9928565695481179,0.9877395160607484,0.9966909972566516,C3X,lineage-distribution assessment family
U_P,fedora,MODIFIED,20,12459,203,0.0016052652700858816,0.0006759469175995868,0.0028535992893650103,C3X,lineage-distribution assessment family
U_P,fedora,REMOVED,28,12459,203,0.0022473713781202345,0.00013139711628554012,0.00598180159008651,C3X,lineage-distribution assessment family
U_P,ubuntu,ADDED,20,11271,187,0.0017744654422855114,0.0005948707386903536,0.0034352895450047234,C3X,lineage-distribution assessment family
U_P,ubuntu,INHERITED_SAME,11203,11271,187,0.9939668174962293,0.989856092794046,0.9969071226581832,C3X,lineage-distribution assessment family
U_P,ubuntu,MODIFIED,19,11271,187,0.0016857421701712359,0.0007185224597341783,0.0030152025190703087,C3X,lineage-distribution assessment family
U_P,ubuntu,REMOVED,29,11271,187,0.002572974891313992,0.0009307993073656057,0.004837796773862493,C3X,lineage-distribution assessment family
