transition,distribution,category,numerator,denominator,projects,proportion,ci_low,ci_high,cohort,observational_unit
P_E,arch,INHERITED_SAME,28431,28431,219,1.0,1.0,1.0,C1X,resolved dimension
P_E,debian,INHERITED_SAME,33210,33210,232,1.0,1.0,1.0,C1X,resolved dimension
P_E,fedora,INHERITED_SAME,45036,45036,313,1.0,1.0,1.0,C1X,resolved dimension
P_E,ubuntu,INHERITED_SAME,42525,42525,302,1.0,1.0,1.0,C1X,resolved dimension
U_P,arch,ADDED,209,16076,116,0.013000746454341875,0.00300187429837941,0.02734329934301221,C3X,resolved dimension
U_P,arch,INHERITED_SAME,15848,16076,116,0.9858173675043543,0.9704024051143795,0.9967023850552074,C3X,resolved dimension
U_P,arch,MODIFIED,15,16076,116,0.0009330679273451107,0.00020240030836275204,0.0019525325764665968,C3X,resolved dimension
U_P,arch,REMOVED,4,16076,116,0.0002488181139586962,5.476429504627406e-05,0.0005151336612954004,C3X,resolved dimension
U_P,debian,ADDED,15,19574,145,0.0007663226729334832,0.0002536999404638275,0.0015015179478157508,C3X,resolved dimension
U_P,debian,INHERITED_SAME,19491,19574,145,0.9957596812097681,0.9916897337646113,0.9982873735020918,C3X,resolved dimension
U_P,debian,MODIFIED,15,19574,145,0.0007663226729334832,0.0002888268135611497,0.0014599846653120976,C3X,resolved dimension
U_P,debian,REMOVED,53,19574,145,0.002707673444364974,0.0005822954116277967,0.006526762151682146,C3X,resolved dimension
U_P,fedora,ADDED,83,28298,203,0.0029330694748745494,0.000558335611109943,0.007800465748514308,C3X,resolved dimension
U_P,fedora,INHERITED_SAME,28122,28298,203,0.9937804791858081,0.9875754203575222,0.9979270345496035,C3X,resolved dimension
U_P,fedora,MODIFIED,21,28298,203,0.0007421019153297053,0.00032031051721996014,0.001322299701577919,C3X,resolved dimension
U_P,fedora,REMOVED,72,28298,203,0.0025443494239875608,6.741834379343394e-05,0.0060455072452084094,C3X,resolved dimension
U_P,ubuntu,ADDED,20,25625,187,0.0007804878048780488,0.0002504544975394999,0.0014928270226379696,C3X,resolved dimension
U_P,ubuntu,INHERITED_SAME,25530,25625,187,0.9962926829268293,0.9932389237402165,0.9982965963708322,C3X,resolved dimension
U_P,ubuntu,MODIFIED,19,25625,187,0.0007414634146341464,0.00032601298461624117,0.0013548077257251494,C3X,resolved dimension
U_P,ubuntu,REMOVED,56,25625,187,0.0021853658536585365,0.0005508314501718789,0.0050828426264924315,C3X,resolved dimension
