cohort,lineage_id,canonical_upstream_id,distributions,distribution_count,family_type
C1,https://apps.gnome.org/Sysprof::sysprofd,https://apps.gnome.org/Sysprof,arch;debian;ubuntu,3,MIXED_OR_GENERAL
C1,https://arthurdejong.org/nss-pam-ldapd::nslcd,https://arthurdejong.org/nss-pam-ldapd,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://avahi.org::avahi-daemon,https://avahi.org,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://avahi.org::avahi-dnsconfd,https://avahi.org,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://bpfilter.io::upstream-unit::src/bpfilter/bpfilter.service,https://bpfilter.io,fedora;ubuntu,2,MIXED_OR_GENERAL
C1,https://c-icap.sourceforge.net::c-icap,https://c-icap.sourceforge.net,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://ceph.com::ceph-crash,https://ceph.com,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://ceph.com::ceph-mon,https://ceph.com,debian;ubuntu,2,MIXED_OR_GENERAL
C1,https://ceph.com::rbdmap,https://ceph.com,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://certbot.eff.org::certbot,https://certbot.eff.org,arch;ubuntu,2,MIXED_OR_GENERAL
C1,https://christophe.varoqui.free.fr::multipathd,https://christophe.varoqui.free.fr,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://christophe.varoqui.free.fr::true,https://christophe.varoqui.free.fr,fedora;ubuntu,2,MIXED_OR_GENERAL
C1,https://chrony-project.org::upstream-unit::examples/chrony-wait.service,https://chrony-project.org,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://cisofy.com/lynis::lynis,https://cisofy.com/lynis,arch;ubuntu,2,MIXED_OR_GENERAL
C1,https://cloud-init.io::cloud-init,https://cloud-init.io,arch;ubuntu,2,MIXED_OR_GENERAL
C1,https://cloud-init.io::upstream-unit::systemd/cloud-config.service,https://cloud-init.io,arch;ubuntu,2,MIXED_OR_GENERAL
C1,https://cloud-init.io::upstream-unit::systemd/cloud-final.service,https://cloud-init.io,arch;ubuntu,2,MIXED_OR_GENERAL
C1,https://cloud-init.io::upstream-unit::systemd/cloud-init-hotplugd.service,https://cloud-init.io,arch;ubuntu,2,MIXED_OR_GENERAL
C1,https://cockpit-project.org::cockpit-tls,https://cockpit-project.org,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://cockpit-project.org::cockpit-ws,https://cockpit-project.org,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://cockpit-project.org::update-issue,https://cockpit-project.org,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://cockpit-project.org::upstream-unit::src/systemd/cockpit-session-socket-user.service,https://cockpit-project.org,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://cockpit-project.org::upstream-unit::src/systemd/cockpit-wsinstance-socket-user.service,https://cockpit-project.org,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://code.forgejo.org/forgejo/runner::forgejo-runner,https://code.forgejo.org/forgejo/runner,arch;fedora,2,MIXED_OR_GENERAL
C1,https://code.kryo.se/iodine::iodined,https://code.kryo.se/iodine,arch;debian;fedora;ubuntu,4,MIXED_OR_GENERAL
C1,https://collectd.org::collectd,https://collectd.org,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://conntrack-tools.netfilter.org::conntrackd,https://conntrack-tools.netfilter.org,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://corosync.github.io/corosync::corosync,https://corosync.github.io/corosync,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://corosync.github.io/corosync::corosync-notifyd,https://corosync.github.io/corosync,debian;fedora;ubuntu,3,MIXED_OR_GENERAL
C1,https://crossfire.real-time.com::crossfire-server,https://crossfire.real-time.com,debian;ubuntu,2,MIXED_OR_GENERAL
C1,https://ddclient.net::ddclient,https://ddclient.net,fedora;ubuntu,2,MIXED_OR_GENERAL
