cohort,match_mode,projects,lineages,percentage
WHOLE_PILOT,EXACT_UPSTREAM_UNIT_IDENTITY,57,137,0.19214586255259467
WHOLE_PILOT,PACKAGING_INSTALL_MAPPING,0,0,0.0
WHOLE_PILOT,DETERMINISTIC_GENERATION_MAPPING,0,0,0.0
WHOLE_PILOT,UNAMBIGUOUS_EXECUTABLE_LINEAGE,364,576,0.8078541374474053
C1X,EXACT_UPSTREAM_UNIT_IDENTITY,53,130,0.20030816640986132
C1X,PACKAGING_INSTALL_MAPPING,0,0,0.0
C1X,DETERMINISTIC_GENERATION_MAPPING,0,0,0.0
C1X,UNAMBIGUOUS_EXECUTABLE_LINEAGE,338,519,0.7996918335901386
C3X,EXACT_UPSTREAM_UNIT_IDENTITY,51,122,0.291866028708134
C3X,PACKAGING_INSTALL_MAPPING,0,0,0.0
C3X,DETERMINISTIC_GENERATION_MAPPING,0,0,0.0
C3X,UNAMBIGUOUS_EXECUTABLE_LINEAGE,200,296,0.7081339712918661
