assessment_id,candidate_observations,resolved_observations,retention
AmbientCapabilities,1852,1103,0.5955723542116631
CapabilityBoundingSet_CAP_AUDIT,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_BLOCK_SUSPEND,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_BPF,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_CHOWN_FSETID_SETFCAP,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_DAC_FOWNER_IPC_OWNER,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_IPC_LOCK,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_KILL,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_LEASE,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_LINUX_IMMUTABLE,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_MAC,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_MKNOD,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_NET_ADMIN,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_NET_BIND_SERVICE_BROADCAST_RAW),1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SET_UID_GID_PCAP,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYSLOG,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_ADMIN,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_BOOT,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_CHROOT,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_MODULE,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_NICE_RESOURCE,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_PACCT,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_PTRACE,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_RAWIO,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_TIME,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_SYS_TTY_CONFIG,1852,1135,0.6128509719222462
CapabilityBoundingSet_CAP_WAKE_ALARM,1852,1135,0.6128509719222462
Delegate,1852,1106,0.5971922246220303
DeviceAllow,1852,1103,0.5955723542116631
IPAddressDeny,1852,1103,0.5955723542116631
KeyringMode,1852,1107,0.597732181425486
LockPersonality,1852,1107,0.597732181425486
MemoryDenyWriteExecute,1852,1107,0.597732181425486
NoNewPrivileges,1852,1107,0.597732181425486
NotifyAccess,1852,1107,0.597732181425486
PrivateDevices,1852,1107,0.597732181425486
PrivateMounts,1852,1103,0.5955723542116631
PrivateNetwork,1852,1103,0.5955723542116631
PrivateTmp,1852,1107,0.597732181425486
PrivateUsers,1852,1103,0.5955723542116631
ProcSubset,1852,1103,0.5955723542116631
ProtectClock,1852,1107,0.597732181425486
ProtectControlGroups,1852,1111,0.5998920086393088
ProtectHome,1852,1111,0.5998920086393088
ProtectHostname,1852,1111,0.5998920086393088
ProtectKernelLogs,1852,1111,0.5998920086393088
ProtectKernelModules,1852,1111,0.5998920086393088
ProtectKernelTunables,1852,1111,0.5998920086393088
ProtectProc,1852,1107,0.597732181425486
ProtectSystem,1852,1111,0.5998920086393088
RemoveIPC,1852,1015,0.5480561555075594
RestrictAddressFamilies_AF_INET_INET6,1852,1111,0.5998920086393088
RestrictAddressFamilies_AF_NETLINK,1852,1111,0.5998920086393088
RestrictAddressFamilies_AF_PACKET,1852,1111,0.5998920086393088
RestrictAddressFamilies_AF_UNIX,1852,1111,0.5998920086393088
RestrictAddressFamilies_OTHER,1852,1111,0.5998920086393088
RestrictNamespaces_cgroup,1852,1107,0.597732181425486
RestrictNamespaces_ipc,1852,1107,0.597732181425486
RestrictNamespaces_mnt,1852,1107,0.597732181425486
RestrictNamespaces_net,1852,1107,0.597732181425486
RestrictNamespaces_pid,1852,1107,0.597732181425486
RestrictNamespaces_user,1852,1107,0.597732181425486
RestrictNamespaces_uts,1852,1107,0.597732181425486
RestrictRealtime,1852,1111,0.5998920086393088
RestrictSUIDSGID,1852,1107,0.597732181425486
RootDirectoryOrRootImage,1852,1103,0.5955723542116631
SupplementaryGroups,1852,1015,0.5480561555075594
SystemCallArchitectures,1852,1107,0.597732181425486
SystemCallFilter_clock,1852,1107,0.597732181425486
SystemCallFilter_cpu_emulation,1852,1107,0.597732181425486
SystemCallFilter_debug,1852,1107,0.597732181425486
SystemCallFilter_module,1852,1107,0.597732181425486
SystemCallFilter_mount,1852,1107,0.597732181425486
SystemCallFilter_obsolete,1852,1107,0.597732181425486
SystemCallFilter_privileged,1852,1107,0.597732181425486
SystemCallFilter_raw_io,1852,1107,0.597732181425486
SystemCallFilter_reboot,1852,1107,0.597732181425486
SystemCallFilter_resources,1852,1107,0.597732181425486
SystemCallFilter_swap,1852,1107,0.597732181425486
UMask,1852,1103,0.5955723542116631
UserOrDynamicUser,1852,1021,0.5512958963282938
