distribution,name,version,architecture,source_name,source_version,homepage,canonical_upstream_id,filename,artifact_url,artifact_sha256,component
debian,389-ds-base,3.1.2+dfsg1-1+deb13u1,amd64,389-ds-base,3.1.2+dfsg1-1+deb13u1,https://directory.fedoraproject.org,https://directory.fedoraproject.org,pool/main/3/389-ds-base/389-ds-base_3.1.2+dfsg1-1+deb13u1_amd64.deb,https://deb.debian.org/debian/pool/main/3/389-ds-base/389-ds-base_3.1.2+dfsg1-1+deb13u1_amd64.deb,3ac6952a0ae8c1d13c31796511e287a3932ac9298b64779f75c062bf9347148b,main
debian,81voltd,1.0.0-1+b1,amd64,81voltd,1.0.0-1,https://gitlab.postmarketos.org/modem/81voltd,https://gitlab.postmarketos.org/modem/81voltd,pool/main/8/81voltd/81voltd_1.0.0-1+b1_amd64.deb,https://deb.debian.org/debian/pool/main/8/81voltd/81voltd_1.0.0-1+b1_amd64.deb,2438b5a421f677ec903a7b35b1a9b6866ac638eb2629cb096e22a356d5efda43,main
debian,a2boot,4.2.3~ds-1+deb13u2,amd64,netatalk,4.2.3~ds-1+deb13u2,https://github.com/Netatalk/netatalk,https://github.com/Netatalk/netatalk,pool/main/n/netatalk/a2boot_4.2.3~ds-1+deb13u2_amd64.deb,https://deb.debian.org/debian/pool/main/n/netatalk/a2boot_4.2.3~ds-1+deb13u2_amd64.deb,da715bf61a09103dc4123d6b15fdf35b3138249223bdf0ff920137a4793e01e0,main
debian,accountsservice,23.13.9-7,amd64,accountsservice,23.13.9-7,https://www.freedesktop.org/wiki/Software/AccountsService/,https://www.freedesktop.org/wiki/Software/AccountsService,pool/main/a/accountsservice/accountsservice_23.13.9-7_amd64.deb,https://deb.debian.org/debian/pool/main/a/accountsservice/accountsservice_23.13.9-7_amd64.deb,f63a8ee4a1c2b759637d0d0826da5feffd561a38627ef066b330db533761a221,main
debian,acct,6.6.4-8,amd64,acct,6.6.4-8,https://www.gnu.org/software/acct/,https://www.gnu.org/software/acct,pool/main/a/acct/acct_6.6.4-8_amd64.deb,https://deb.debian.org/debian/pool/main/a/acct/acct_6.6.4-8_amd64.deb,ba85c12dacb2338444a4e7179f4866ecab412ad57063ccc9cf38ed69eaff48de,main
debian,acmetool,0.2.2-3+b1,amd64,acmetool,0.2.2-3,https://hlandau.github.io/acmetool,https://hlandau.github.io/acmetool,pool/main/a/acmetool/acmetool_0.2.2-3+b1_amd64.deb,https://deb.debian.org/debian/pool/main/a/acmetool/acmetool_0.2.2-3+b1_amd64.deb,8f8dc696ef02e3b9cf571ff15a7a2e5086c0c10e8088f2f11e20c442fac5d446,main
debian,acpi-fakekey,0.143-5.2,amd64,acpi-support,0.143-5.2,,,pool/main/a/acpi-support/acpi-fakekey_0.143-5.2_amd64.deb,https://deb.debian.org/debian/pool/main/a/acpi-support/acpi-fakekey_0.143-5.2_amd64.deb,30cfc40fc7fa9c658a17789594dfd270a887d8395f1bcbbefe6c52bb49be5031,main
debian,acpid,1:2.0.34-1+b1,amd64,acpid,1:2.0.34-1,http://sourceforge.net/projects/acpid2/,https://sourceforge.net/projects/acpid2,pool/main/a/acpid/acpid_2.0.34-1+b1_amd64.deb,https://deb.debian.org/debian/pool/main/a/acpid/acpid_2.0.34-1+b1_amd64.deb,a90780c40e2c82c8df1a821ff46600fc253de1da09762edc1361fb0eb2d91896,main
debian,adbd,34.0.5-12,amd64,android-platform-tools,34.0.5-12,https://developer.android.com/studio/releases/platform-tools,https://developer.android.com/studio/releases/platform-tools,pool/main/a/android-platform-tools/adbd_34.0.5-12_amd64.deb,https://deb.debian.org/debian/pool/main/a/android-platform-tools/adbd_34.0.5-12_amd64.deb,9d3263d5126e26f6e38f221e48e972a48c60bbae33835b1f72b63b723418f804,main
debian,adjtimex,1.29-12,amd64,adjtimex,1.29-12,http://metalab.unc.edu/pub/Linux/system/admin/time,https://metalab.unc.edu/pub/Linux/system/admin/time,pool/main/a/adjtimex/adjtimex_1.29-12_amd64.deb,https://deb.debian.org/debian/pool/main/a/adjtimex/adjtimex_1.29-12_amd64.deb,918dc9aa345cc8ebf484e63317ca3e6ada147b5ffce934e0b1be23d499d48554,main
debian,alertmanager-irc-relay,0.5.1-3,amd64,alertmanager-irc-relay,0.5.1-3,https://github.com/google/alertmanager-irc-relay,https://github.com/google/alertmanager-irc-relay,pool/main/a/alertmanager-irc-relay/alertmanager-irc-relay_0.5.1-3_amd64.deb,https://deb.debian.org/debian/pool/main/a/alertmanager-irc-relay/alertmanager-irc-relay_0.5.1-3_amd64.deb,af2a53c6315928739a80a26bae3c3d0f9072777495876bc46e9a167c9855fad5,main
debian,alsa-utils,1.2.14-1,amd64,alsa-utils,1.2.14-1,https://www.alsa-project.org/,https://www.alsa-project.org,pool/main/a/alsa-utils/alsa-utils_1.2.14-1_amd64.deb,https://deb.debian.org/debian/pool/main/a/alsa-utils/alsa-utils_1.2.14-1_amd64.deb,1e2b5f31fc826e1af25e2a12e37cd8d361ff25feaf224c6bbef3cc5d6cd2596b,main
debian,altos,1.9.21-1,amd64,altos,1.9.21-1,http://altusmetrum.org/AltOS,https://altusmetrum.org/AltOS,pool/main/a/altos/altos_1.9.21-1_amd64.deb,https://deb.debian.org/debian/pool/main/a/altos/altos_1.9.21-1_amd64.deb,e56e5410778373b51115e18e83f15139e0f5b10f8c5e412c13eff29ba06f7bc0,main
debian,ample,0.5.7-15,amd64,ample,0.5.7-15,http://ample.sourceforge.net,https://ample.sourceforge.net,pool/main/a/ample/ample_0.5.7-15_amd64.deb,https://deb.debian.org/debian/pool/main/a/ample/ample_0.5.7-15_amd64.deb,9fc5af375037f0a73f2ae4388ebc0bfd698d5652adc7419eaf85727312902766,main
debian,ampr-ripd,2.4.1-1+b3,amd64,ampr-ripd,2.4.1-1,http://www.yo2loj.ro/hamprojects/,https://www.yo2loj.ro/hamprojects,pool/main/a/ampr-ripd/ampr-ripd_2.4.1-1+b3_amd64.deb,https://deb.debian.org/debian/pool/main/a/ampr-ripd/ampr-ripd_2.4.1-1+b3_amd64.deb,bf40062b325fd32e8031629a8858a03f404c6f71dcdfd9b98a5a749ce3e4b5e4,main
debian,anacron,2.3-43,amd64,anacron,2.3-43,http://sourceforge.net/projects/anacron/,https://sourceforge.net/projects/anacron,pool/main/a/anacron/anacron_2.3-43_amd64.deb,https://deb.debian.org/debian/pool/main/a/anacron/anacron_2.3-43_amd64.deb,02851efac4ede65fc8c2d618787ee1cfce4735def50b9f86a6e62c69dbdb818d,main
debian,anope,2.0.17-1,amd64,anope,2.0.17-1,http://www.anope.org/,https://www.anope.org,pool/main/a/anope/anope_2.0.17-1_amd64.deb,https://deb.debian.org/debian/pool/main/a/anope/anope_2.0.17-1_amd64.deb,70a8750a22e56c850d6859b3910e481e182fff01ee985689a37dbd45659b07b1,main
debian,anytun,0.3.8-1.1,amd64,anytun,0.3.8-1.1,http://www.anytun.org/,https://www.anytun.org,pool/main/a/anytun/anytun_0.3.8-1.1_amd64.deb,https://deb.debian.org/debian/pool/main/a/anytun/anytun_0.3.8-1.1_amd64.deb,060c328d6b165c5e283b5959c567bd0e655c78c098b9c1125c78a5e401107acc,main
debian,aoetools,36-6,amd64,aoetools,36-6,http://aoetools.sf.net,https://aoetools.sf.net,pool/main/a/aoetools/aoetools_36-6_amd64.deb,https://deb.debian.org/debian/pool/main/a/aoetools/aoetools_36-6_amd64.deb,76984d703a0fb63003fcf0c9e089af9ca68e8d8c04c90a530487e556bf56c8d1,main
debian,apache2,2.4.68-1~deb13u1,amd64,apache2,2.4.68-1~deb13u1,https://httpd.apache.org/,https://httpd.apache.org,pool/main/a/apache2/apache2_2.4.68-1~deb13u1_amd64.deb,https://deb.debian.org/debian/pool/main/a/apache2/apache2_2.4.68-1~deb13u1_amd64.deb,99947e7bcdc150d1cc4c078051e17a7af53b716a9453d02d43c6e38f40306e16,main
debian,apcupsd,3.14.14-5,amd64,apcupsd,3.14.14-5,http://www.apcupsd.org/,https://www.apcupsd.org,pool/main/a/apcupsd/apcupsd_3.14.14-5_amd64.deb,https://deb.debian.org/debian/pool/main/a/apcupsd/apcupsd_3.14.14-5_amd64.deb,a29bf0ef0ee81f638652fb8722cb34ab434b64216e8af29e16f60c5225fd94da,main
debian,apparmor,4.1.0-1,amd64,apparmor,4.1.0-1,https://apparmor.net/,https://apparmor.net,pool/main/a/apparmor/apparmor_4.1.0-1_amd64.deb,https://deb.debian.org/debian/pool/main/a/apparmor/apparmor_4.1.0-1_amd64.deb,a08bf026cde3895f76d27cb5f9ba3d31d0ecf8b5b00cab9b70edaa7473d4b0a1,main
debian,approx,5.13-1+b5,amd64,approx,5.13-1,https://salsa.debian.org/ocaml-team/approx,https://salsa.debian.org/ocaml-team/approx,pool/main/a/approx/approx_5.13-1+b5_amd64.deb,https://deb.debian.org/debian/pool/main/a/approx/approx_5.13-1+b5_amd64.deb,b344d8382904e1421c89bb2da64a770d8cdf2d9b9a109bd940d03ef08219503c,main
debian,aprx,2.9.1-3,amd64,aprx,2.9.1-3,https://thelifeofkenneth.com/aprx/,https://thelifeofkenneth.com/aprx,pool/main/a/aprx/aprx_2.9.1-3_amd64.deb,https://deb.debian.org/debian/pool/main/a/aprx/aprx_2.9.1-3_amd64.deb,b1ea30a0e18af9f443dd01c0bf8083c3e01fcbb6d26027cd55986ec462505ce5,main
debian,apt,3.0.3,amd64,apt,3.0.3,,,pool/main/a/apt/apt_3.0.3_amd64.deb,https://deb.debian.org/debian/pool/main/a/apt/apt_3.0.3_amd64.deb,55e341fbe92d7502c98faf1b3c235393ea0744db119cf2173603e965b658aef4,main
debian,apt-cacher-ng,3.7.5-1,amd64,apt-cacher-ng,3.7.5-1,http://www.unix-ag.uni-kl.de/~bloch/acng/,https://www.unix-ag.uni-kl.de/~bloch/acng,pool/main/a/apt-cacher-ng/apt-cacher-ng_3.7.5-1_amd64.deb,https://deb.debian.org/debian/pool/main/a/apt-cacher-ng/apt-cacher-ng_3.7.5-1_amd64.deb,ebfcf72d976ed2ccb6ffed8328c130cd8b7c836306687b197275320e7fde66de,main
debian,aptly-api,1.6.1+ds1-3,amd64,aptly,1.6.1+ds1-3,https://www.aptly.info,https://www.aptly.info,pool/main/a/aptly/aptly-api_1.6.1+ds1-3_amd64.deb,https://deb.debian.org/debian/pool/main/a/aptly/aptly-api_1.6.1+ds1-3_amd64.deb,0168adaa2a307023cb510d1aef3f3de09d581aad398b18bf9ace3a84f19c1ae9,main
debian,argus-client,1:5.0.2+git20250321.41f65e2-2,amd64,argus-clients,1:5.0.2+git20250321.41f65e2-2,http://qosient.com/argus,https://qosient.com/argus,pool/main/a/argus-clients/argus-client_5.0.2+git20250321.41f65e2-2_amd64.deb,https://deb.debian.org/debian/pool/main/a/argus-clients/argus-client_5.0.2+git20250321.41f65e2-2_amd64.deb,53b3218aa09b0e658b9d507eb0aca5415a18b7e1c18dbfc5d9b6324720cf1547,main
debian,argus-server,2:5.0.2-3,amd64,argus,2:5.0.2-3,https://openargus.org,https://openargus.org,pool/main/a/argus/argus-server_5.0.2-3_amd64.deb,https://deb.debian.org/debian/pool/main/a/argus/argus-server_5.0.2-3_amd64.deb,4aea76cf36154d18ccaa6c13f94c90d33b280363826999595138b56611488065,main
debian,armagetronad-dedicated,0.2.9.1.1-1+b2,amd64,armagetronad,0.2.9.1.1-1,https://www.armagetronad.org/,https://www.armagetronad.org,pool/main/a/armagetronad/armagetronad-dedicated_0.2.9.1.1-1+b2_amd64.deb,https://deb.debian.org/debian/pool/main/a/armagetronad/armagetronad-dedicated_0.2.9.1.1-1+b2_amd64.deb,3f61469b074dc244489bab455316e2b4ad79eef2c29d85171ea5c87af501ab48,main
debian,arpon,3.0-ng+dfsg1-5+b1,amd64,arpon,3.0-ng+dfsg1-5,http://arpon.sourceforge.net,https://arpon.sourceforge.net,pool/main/a/arpon/arpon_3.0-ng+dfsg1-5+b1_amd64.deb,https://deb.debian.org/debian/pool/main/a/arpon/arpon_3.0-ng+dfsg1-5+b1_amd64.deb,122128b30ae4c59c05850055a17ed338dc14a8fef6e70889e065703bd1df3a73,main
debian,arpwatch,2.1a15-9,amd64,arpwatch,2.1a15-9,https://ee.lbl.gov/,https://ee.lbl.gov,pool/main/a/arpwatch/arpwatch_2.1a15-9_amd64.deb,https://deb.debian.org/debian/pool/main/a/arpwatch/arpwatch_2.1a15-9_amd64.deb,2df562c3c61f854608288795f39db8738b1d380f14540f028d39393cc5291cbe,main
debian,asahi-btsync,0.2.4-7,amd64,rust-asahi-btsync,0.2.4-7,https://github.com/AsahiLinux/asahi-nvram,https://github.com/AsahiLinux/asahi-nvram,pool/main/r/rust-asahi-btsync/asahi-btsync_0.2.4-7_amd64.deb,https://deb.debian.org/debian/pool/main/r/rust-asahi-btsync/asahi-btsync_0.2.4-7_amd64.deb,e07cb76073e43bbc8b5b4b383a3693063127cb3a699346a3195639b1814397d8,main
debian,at,3.2.5-2.2,amd64,at,3.2.5-2.2,http://blog.calhariz.com,https://blog.calhariz.com,pool/main/a/at/at_3.2.5-2.2_amd64.deb,https://deb.debian.org/debian/pool/main/a/at/at_3.2.5-2.2_amd64.deb,f7f36171c9166ef136221db2708cf24c72fd9e39ceb2aa41f31108593117896d,main
debian,atalkd,4.2.3~ds-1+deb13u2,amd64,netatalk,4.2.3~ds-1+deb13u2,https://github.com/Netatalk/netatalk,https://github.com/Netatalk/netatalk,pool/main/n/netatalk/atalkd_4.2.3~ds-1+deb13u2_amd64.deb,https://deb.debian.org/debian/pool/main/n/netatalk/atalkd_4.2.3~ds-1+deb13u2_amd64.deb,5db9edbd50c2f8c63e9c9409f0b5a1adef3abe3cc2deccddc1b9ae11714ec404,main
debian,atftpd,0.8.0-8,amd64,atftp,0.8.0-8,https://sourceforge.net/projects/atftp,https://sourceforge.net/projects/atftp,pool/main/a/atftp/atftpd_0.8.0-8_amd64.deb,https://deb.debian.org/debian/pool/main/a/atftp/atftpd_0.8.0-8_amd64.deb,6efeecc4b71d4e4042f9133b40bd27cf4846a26b51af01cf44b7e0e39f1851b8,main
debian,atheme-services,7.2.12-2,amd64,atheme-services,7.2.12-2,https://atheme.github.io/atheme.html,https://atheme.github.io/atheme.html,pool/main/a/atheme-services/atheme-services_7.2.12-2_amd64.deb,https://deb.debian.org/debian/pool/main/a/atheme-services/atheme-services_7.2.12-2_amd64.deb,197757a9441bd7b741e032bed4e17a3477377b2d56b30d3d9eab8d6204746744,main
debian,atm-tools,1:2.5.1-7,amd64,linux-atm,1:2.5.1-7,https://linux-atm.sourceforge.net/,https://linux-atm.sourceforge.net,pool/main/l/linux-atm/atm-tools_2.5.1-7_amd64.deb,https://deb.debian.org/debian/pool/main/l/linux-atm/atm-tools_2.5.1-7_amd64.deb,d25f4398332cf43e6fedce18189e2ae05384bb6b1d691f65d73da57fc4fcb697,main
debian,atop,2.11.1-3,amd64,atop,2.11.1-3,https://atoptool.nl/,https://atoptool.nl,pool/main/a/atop/atop_2.11.1-3_amd64.deb,https://deb.debian.org/debian/pool/main/a/atop/atop_2.11.1-3_amd64.deb,006f02c637776c84b1bd9ea58282aba39134e80069773b8dd819bf1bc1a5536d,main
debian,auditd,1:4.0.2-2+b2,amd64,audit,1:4.0.2-2,https://people.redhat.com/sgrubb/audit/,https://people.redhat.com/sgrubb/audit,pool/main/a/audit/auditd_4.0.2-2+b2_amd64.deb,https://deb.debian.org/debian/pool/main/a/audit/auditd_4.0.2-2+b2_amd64.deb,cc21921dca59894879ba9fef423b2f5ad978b755d3bdd9d8512e8f6672d9a439,main
debian,autodir,0.99.9-18+b1,amd64,autodir,0.99.9-18,https://github.com/fpl/autodir/,https://github.com/fpl/autodir,pool/main/a/autodir/autodir_0.99.9-18+b1_amd64.deb,https://deb.debian.org/debian/pool/main/a/autodir/autodir_0.99.9-18+b1_amd64.deb,f93aa19243d0c9c1b7e7ca3f5374bea561ce85d01d338c4216369283c5230930,main
debian,autofs,5.1.9-1.2+b1,amd64,autofs,5.1.9-1.2,https://www.kernel.org/pub/linux/daemons/autofs/v5/,https://www.kernel.org/pub/linux/daemons/autofs/v5,pool/main/a/autofs/autofs_5.1.9-1.2+b1_amd64.deb,https://deb.debian.org/debian/pool/main/a/autofs/autofs_5.1.9-1.2+b1_amd64.deb,b766ddf0c1e5b161bdd30685556996bca1e469c6e331e671123f9b5bea0fbbd7,main
debian,autolog,0.42.1-2,amd64,autolog,0.42.1-2,https://github.com/JKDingwall/autolog,https://github.com/JKDingwall/autolog,pool/main/a/autolog/autolog_0.42.1-2_amd64.deb,https://deb.debian.org/debian/pool/main/a/autolog/autolog_0.42.1-2_amd64.deb,a641586001775f709cb2033ca45e65030c5b352f955329d028feaae4e99891ec,main
