distribution,package,unit_path
debian,389-ds-base,usr/lib/systemd/system/dirsrv-snmp.service
debian,389-ds-base,usr/lib/systemd/system/dirsrv.service
debian,389-ds-base,usr/lib/systemd/system/dirsrv@.service
debian,389-ds-base,usr/lib/systemd/system/dirsrv@.service.d/custom.conf
debian,81voltd,usr/lib/systemd/system/81voltd.service
debian,a2boot,usr/lib/systemd/system/a2boot.service
debian,accountsservice,usr/lib/systemd/system/accounts-daemon.service
debian,acct,usr/lib/systemd/system/acct.service
debian,acmetool,usr/lib/systemd/system/acmetool.service
debian,acpi-fakekey,usr/lib/systemd/system/acpi-fakekey.service
debian,acpid,usr/lib/systemd/system/acpid.service
debian,adbd,usr/lib/systemd/system/adbd.service
debian,adjtimex,usr/lib/systemd/system/adjtimex.service
debian,alertmanager-irc-relay,usr/lib/systemd/system/alertmanager-irc-relay.service
debian,alsa-utils,usr/lib/systemd/system/alsa-restore.service
debian,alsa-utils,usr/lib/systemd/system/alsa-state.service
debian,alsa-utils,usr/lib/systemd/system/alsa-utils.service
debian,alsa-utils,usr/lib/systemd/system/sound.target.wants/alsa-restore.service
debian,alsa-utils,usr/lib/systemd/system/sound.target.wants/alsa-state.service
debian,altos,usr/lib/systemd/system/altos-mapd.service
debian,ample,usr/lib/systemd/system/ample.service
debian,ampr-ripd,usr/lib/systemd/system/ampr-ripd.service
debian,anacron,usr/lib/systemd/system/anacron.service
debian,anope,usr/lib/systemd/system/anope.service
debian,anytun,usr/lib/systemd/system/anytun-controld@.service
debian,anytun,usr/lib/systemd/system/anytun.service
debian,anytun,usr/lib/systemd/system/anytun@.service
debian,aoetools,usr/lib/systemd/system/aoe-discover.service
debian,aoetools,usr/lib/systemd/system/aoetools.service
debian,apache2,usr/lib/systemd/system/apache-htcacheclean.service
debian,apache2,usr/lib/systemd/system/apache-htcacheclean@.service
debian,apache2,usr/lib/systemd/system/apache2.service
debian,apache2,usr/lib/systemd/system/apache2@.service
debian,apcupsd,usr/lib/systemd/system/apcupsd.service
debian,apcupsd,usr/lib/systemd/system/ups-monitor.service
debian,apparmor,usr/lib/systemd/system/apparmor.service
debian,approx,usr/lib/systemd/system/approx@.service
debian,aprx,usr/lib/systemd/system/aprx.service
debian,apt,usr/lib/systemd/system/apt-daily-upgrade.service
debian,apt,usr/lib/systemd/system/apt-daily.service
debian,apt-cacher-ng,usr/lib/systemd/system/apt-cacher-ng.service
debian,aptly-api,usr/lib/systemd/system/aptly-api.service
debian,argus-client,usr/lib/systemd/system/radium.service
debian,argus-client,usr/lib/systemd/system/rastream.service
debian,argus-server,usr/lib/systemd/system/argus.service
debian,armagetronad-dedicated,usr/lib/systemd/system/armagetronad-dedicated.service
debian,arpon,usr/lib/systemd/system/arpon.service
debian,arpon,usr/lib/systemd/system/arpon@.service
debian,arpwatch,usr/lib/systemd/system/arpwatch.service
debian,arpwatch,usr/lib/systemd/system/arpwatch@.service
debian,asahi-btsync,usr/lib/systemd/system/asahi-btsync.service
debian,at,usr/lib/systemd/system/atd.service
debian,atalkd,usr/lib/systemd/system/atalkd.service
debian,atftpd,usr/lib/systemd/system/atftpd.service
debian,atheme-services,usr/lib/systemd/system/atheme-services.service
debian,atm-tools,usr/lib/systemd/system/atm.service
debian,atop,usr/lib/systemd/system/atop-rotate.service
debian,atop,usr/lib/systemd/system/atop.service
debian,atop,usr/lib/systemd/system/atopacct.service
debian,auditd,usr/lib/systemd/system/audit-rules.service
debian,auditd,usr/lib/systemd/system/auditd.service
debian,autodir,usr/lib/systemd/system/autodir-group.service
debian,autodir,usr/lib/systemd/system/autodir-home.service
debian,autodir,usr/lib/systemd/system/autodir.service
debian,autofs,usr/lib/systemd/system/autofs.service
debian,autolog,usr/lib/systemd/system/autolog.service
debian,avahi-daemon,usr/lib/systemd/system/avahi-daemon.service
debian,avahi-dnsconfd,usr/lib/systemd/system/avahi-dnsconfd.service
debian,awffull,usr/lib/systemd/system/awffull.service
debian,axfrdns,usr/lib/systemd/system/axfrdns.service
debian,babeld,usr/lib/systemd/system/babeld.service
debian,backuppc,usr/lib/systemd/system/backuppc.service
debian,bacula-director,usr/lib/systemd/system/bacula-director.service
debian,bacula-fd,usr/lib/systemd/system/bacula-fd.service
debian,bacula-sd,usr/lib/systemd/system/bacula-sd.service
debian,balboa,usr/lib/systemd/system/balboa.service
debian,balboa-backend-common,usr/lib/systemd/system/balboa-backend@.service
debian,bandwidthd,usr/lib/systemd/system/bandwidthd.service
debian,bandwidthd-pgsql,usr/lib/systemd/system/bandwidthd.service
debian,batmand,usr/lib/systemd/system/batmand.service
debian,battery-stats,usr/lib/systemd/system/battery-stats.service
debian,bcron,usr/lib/systemd/system/bcron-sched.service
debian,bcron,usr/lib/systemd/system/bcron-spool.service
debian,bcron,usr/lib/systemd/system/bcron-update.service
debian,beanstalkd,usr/lib/systemd/system/beanstalkd.service
debian,bettercap,usr/lib/systemd/system/bettercap.service
debian,bibledit-cloud,usr/lib/systemd/system/bibledit-cloud.service
debian,biboumi,usr/lib/systemd/system/biboumi.service
debian,bind9,usr/lib/systemd/system/named-resolvconf.service
debian,bind9,usr/lib/systemd/system/named.service
debian,binfmt-support,usr/lib/systemd/system/binfmt-support.service
debian,binkd,usr/lib/systemd/system/binkd.service
debian,biometric-auth,usr/lib/systemd/system/biometric-authentication.service
debian,biometryd-bin,usr/lib/systemd/system/biometryd.service
debian,bip,usr/lib/systemd/system/bip-config.service
debian,bip,usr/lib/systemd/system/bip-config.service.d/bip-config.conf
debian,bip,usr/lib/systemd/system/bip.service
debian,bird2,usr/lib/systemd/system/bird.service
debian,bird3,usr/lib/systemd/system/bird.service
debian,blockdomains,usr/lib/systemd/system/blockdomains.service
debian,blueman,usr/lib/systemd/system/blueman-mechanism.service
debian,bluez,usr/lib/systemd/system/bluetooth.service
debian,bluez-alsa-utils,usr/lib/systemd/system/bluealsa-aplay.service
debian,bluez-alsa-utils,usr/lib/systemd/system/bluealsa.service
debian,bluez-meshd,usr/lib/systemd/system/bluetooth-mesh.service
debian,boinc-client,usr/lib/systemd/system/boinc-client.service
debian,bolt,usr/lib/systemd/system/bolt.service
debian,booth,usr/lib/systemd/system/booth-arbitrator.service
debian,booth,usr/lib/systemd/system/booth.service
debian,booth,usr/lib/systemd/system/booth@.service
debian,bootparamd,usr/lib/systemd/system/bootparamd.service
debian,bosixnet-webui,usr/lib/systemd/system/bosixnet-webui.service
debian,boxbackup-client,usr/lib/systemd/system/boxbackup-client.service
debian,boxbackup-server,usr/lib/systemd/system/boxbackup-server.service
debian,bpftune,usr/lib/systemd/system/bpftune.service
debian,brltty,usr/lib/systemd/system/brltty.service
debian,btrfsd,usr/lib/systemd/system/btrfsd.service
debian,bumblebee,usr/lib/systemd/system/bumblebeed.service
debian,burp,usr/lib/systemd/system/burp.service
debian,burrow,usr/lib/systemd/system/burrow.service
debian,bzflag-server,usr/lib/systemd/system/bzflag.service
debian,c-icap,usr/lib/systemd/system/c-icap.service
debian,caddy,usr/lib/systemd/system/caddy-api.service
debian,caddy,usr/lib/systemd/system/caddy.service
debian,canid,usr/lib/systemd/system/canid.service
debian,canna,usr/lib/systemd/system/canna.service
debian,carbon-c-relay,usr/lib/systemd/system/carbon-c-relay.service
debian,ceph-base,usr/lib/systemd/system/ceph-crash.service
debian,ceph-common,usr/lib/systemd/system/rbdmap.service
debian,ceph-fuse,usr/lib/systemd/system/ceph-fuse@.service
debian,ceph-immutable-object-cache,usr/lib/systemd/system/ceph-immutable-object-cache@.service
debian,ceph-mds,usr/lib/systemd/system/ceph-mds@.service
debian,ceph-mgr,usr/lib/systemd/system/ceph-mgr@.service
debian,ceph-mon,usr/lib/systemd/system/ceph-mon.service
debian,ceph-mon,usr/lib/systemd/system/ceph-mon@.service
debian,ceph-osd,usr/lib/systemd/system/ceph-osd@.service
debian,cephfs-mirror,usr/lib/systemd/system/cephfs-mirror@.service
debian,certmonger,usr/lib/systemd/system/certmonger.service
debian,certspotter,usr/lib/systemd/system/certspotter.service
debian,cfengine3,usr/lib/systemd/system/cf-apache.service
debian,cfengine3,usr/lib/systemd/system/cf-execd.service
debian,cfengine3,usr/lib/systemd/system/cf-hub.service
debian,cfengine3,usr/lib/systemd/system/cf-monitord.service
debian,cfengine3,usr/lib/systemd/system/cf-postgres.service
debian,cfengine3,usr/lib/systemd/system/cf-reactor.service
debian,cfengine3,usr/lib/systemd/system/cf-serverd.service
debian,cfengine3,usr/lib/systemd/system/cfengine3.service
debian,charon-systemd,usr/lib/systemd/system/strongswan.service
debian,chasquid,usr/lib/systemd/system/chasquid.service
debian,chkrootkit,usr/lib/systemd/system/chkrootkit.service
debian,chrony,usr/lib/systemd/system/chrony-dnssrv@.service
debian,chrony,usr/lib/systemd/system/chrony-wait.service
debian,chrony,usr/lib/systemd/system/chrony.service
debian,chrony,usr/lib/systemd/system/chronyd-restricted.service
debian,ckb-next,usr/lib/systemd/system/ckb-next-daemon.service
debian,clamav-daemon,usr/lib/systemd/system/clamav-clamonacc.service
debian,clamav-daemon,usr/lib/systemd/system/clamav-daemon.service
debian,clamav-freshclam,usr/lib/systemd/system/clamav-freshclam-once.service
debian,clamav-freshclam,usr/lib/systemd/system/clamav-freshclam.service
debian,clamsmtp,usr/lib/systemd/system/clamsmtp.service
debian,clevis-systemd,usr/lib/systemd/system/clevis-luks-askpass.service
debian,click,usr/lib/systemd/system/click-system-hooks.service
debian,cloudflare-ddns,usr/lib/systemd/system/cloudflare-ddns.service
debian,clsync,usr/lib/systemd/system/clsync@.service
debian,cluster-glue,usr/lib/systemd/system/logd.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-issue.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-session-socket-user.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-session@.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-wsinstance-http.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-wsinstance-https-factory@.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-wsinstance-https@.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit-wsinstance-socket-user.service
debian,cockpit-ws,usr/lib/systemd/system/cockpit.service
debian,collectd-core,usr/lib/systemd/system/collectd.service
debian,colord,usr/lib/systemd/system/colord.service
debian,condor,usr/lib/systemd/system/condor.service
debian,condor-annex-ec2,usr/lib/systemd/system/condor-annex-ec2.service
debian,conman,usr/lib/systemd/system/conman.service
debian,connman,usr/lib/systemd/system/connman-wait-online.service
debian,connman,usr/lib/systemd/system/connman.service
debian,connman-vpn,usr/lib/systemd/system/connman-vpn.service
debian,conntrackd,usr/lib/systemd/system/conntrackd.service
debian,conserver-server,usr/lib/systemd/system/conserver-server.service
debian,consolation,usr/lib/systemd/system/consolation.service
debian,containerd,usr/lib/systemd/system/containerd.service
debian,containernetworking-plugins,usr/lib/systemd/system/cni-dhcp.service
debian,coredhcp-server,usr/lib/systemd/system/coredhcp-server.service
debian,corosync,usr/lib/systemd/system/corosync.service
debian,corosync-notifyd,usr/lib/systemd/system/corosync-notifyd.service
debian,corosync-qdevice,usr/lib/systemd/system/corosync-qdevice.service
debian,corosync-qnetd,usr/lib/systemd/system/corosync-qnetd.service
debian,coturn,usr/lib/systemd/system/coturn.service
debian,courier-authdaemon,usr/lib/systemd/system/courier-authdaemon.service
debian,courier-imap,usr/lib/systemd/system/courier-imap-ssl.service
debian,courier-imap,usr/lib/systemd/system/courier-imap.service
debian,courier-ldap,usr/lib/systemd/system/courier-ldap.service
debian,courier-mlm,usr/lib/systemd/system/courier-mlm.service
debian,courier-mta,usr/lib/systemd/system/courier-msa.service
debian,courier-mta,usr/lib/systemd/system/courier-mta-ssl.service
debian,courier-mta,usr/lib/systemd/system/courier-mta.service
debian,courier-mta,usr/lib/systemd/system/courier.service
debian,courier-mta,usr/lib/systemd/system/courierfilter.service
debian,courier-pop,usr/lib/systemd/system/courier-pop-ssl.service
debian,courier-pop,usr/lib/systemd/system/courier-pop.service
debian,courier-webadmin,usr/lib/systemd/system/courier-webadmin.service
debian,cpupower-gui,usr/lib/systemd/system/cpupower-gui-helper.service
debian,cpupower-gui,usr/lib/systemd/system/cpupower-gui.service
debian,cron,usr/lib/systemd/system/cron.service
debian,cronie,usr/lib/systemd/system/cronie.service
debian,crossfire-server,usr/lib/systemd/system/crossfire-server.service
debian,crowdsec,usr/lib/systemd/system/crowdsec.service
debian,crowdsec-custom-bouncer,usr/lib/systemd/system/crowdsec-custom-bouncer.service
debian,crowdsec-firewall-bouncer,usr/lib/systemd/system/crowdsec-firewall-bouncer.service
debian,cryptmount,usr/lib/systemd/system/cryptmount.service
debian,cryptsetup-suspend,usr/lib/systemd/system/systemd-suspend.service.d/cryptsetup-suspend.conf
debian,csync2,usr/lib/systemd/system/csync2@.service
debian,ctdb,usr/lib/systemd/system/ctdb.service
debian,cubemap,usr/lib/systemd/system/cubemap.service
debian,cups-browsed,usr/lib/systemd/system/cups-browsed.service
debian,cups-daemon,usr/lib/systemd/system/cups.service
debian,curvedns,usr/lib/systemd/system/curvedns.service
debian,cvsd,usr/lib/systemd/system/cvsd.service
debian,cxl,usr/lib/systemd/system/cxl-monitor.service
debian,cyrus-common,usr/lib/systemd/system/cyrus-imapd.service
debian,darkstat,usr/lib/systemd/system/darkstat.service
debian,dbeacon,usr/lib/systemd/system/dbeacon.service
debian,dbus,usr/lib/systemd/system/dbus.service
debian,dbus,usr/lib/systemd/system/multi-user.target.wants/dbus.service
debian,dbus-broker,usr/lib/systemd/system/dbus-broker.service
debian,ddccontrol,usr/lib/systemd/system/ddccontrol.service
debian,debiman,usr/lib/systemd/system/debiman-auxserver.service
debian,deepin-boot-maker,usr/lib/systemd/system/deepin-boot-maker.service
debian,deepin-log-viewer,usr/lib/systemd/system/deepin-log-viewer-daemon.service
debian,deviceinfo-extras,usr/lib/systemd/system/update-machine-info-from-deviceinfo.service
debian,dhcp-helper,usr/lib/systemd/system/dhcp-helper.service
debian,dhcp-probe,usr/lib/systemd/system/dhcp-probe.service
debian,dhcp-probe,usr/lib/systemd/system/dhcp-probe@.service
debian,dibbler-client,usr/lib/systemd/system/dibbler-client.service
debian,dibbler-relay,usr/lib/systemd/system/dibbler-relay.service
debian,dibbler-server,usr/lib/systemd/system/dibbler-server.service
debian,dicod,usr/lib/systemd/system/dicod.service
debian,dicod,usr/lib/systemd/system/dicod@.service
debian,dicod,usr/lib/systemd/system/dictd.service
debian,didiwiki,usr/lib/systemd/system/didiwiki.service
debian,direvent,usr/lib/systemd/system/direvent.service
debian,direwolf,usr/lib/systemd/system/direwolf.service
debian,distcc,usr/lib/systemd/system/distcc.service
debian,dlm-controld,usr/lib/systemd/system/dlm.service
debian,dlt-daemon,usr/lib/systemd/system/dlt.service
debian,dlt-tools,usr/lib/systemd/system/dlt-dbus.service
debian,dlt-tools,usr/lib/systemd/system/dlt-system.service
debian,dmeventd,usr/lib/systemd/system/dm-event.service
debian,dns-flood-detector,usr/lib/systemd/system/dns-flood-detector.service
debian,dnscache,usr/lib/systemd/system/dnscache.service
debian,dnscrypt-proxy,usr/lib/systemd/system/dnscrypt-proxy-resolvconf.service
debian,dnscrypt-proxy,usr/lib/systemd/system/dnscrypt-proxy.service
debian,dnsdist,usr/lib/systemd/system/dnsdist.service
debian,dnsdist,usr/lib/systemd/system/dnsdist@.service
debian,dnsproxy,usr/lib/systemd/system/dnsproxy.service
debian,dnss,usr/lib/systemd/system/dnss.service
debian,dnssec-trigger,usr/lib/systemd/system/dnssec-triggerd-keygen.service
debian,dnssec-trigger,usr/lib/systemd/system/dnssec-triggerd.service
debian,docker-registry,usr/lib/systemd/system/docker-registry.service
debian,docker.io,usr/lib/systemd/system/docker.service
debian,dovecot-core,usr/lib/systemd/system/dovecot.service
debian,downtimed,usr/lib/systemd/system/downtimed.service
debian,dpdk,usr/lib/systemd/system/dpdk.service
debian,dpkg,usr/lib/systemd/system/dpkg-db-backup.service
debian,dqcache,usr/lib/systemd/system/dqcache.service
debian,dracut-core,usr/lib/systemd/system/dracut-cmdline.service
debian,dracut-core,usr/lib/systemd/system/dracut-initqueue.service
debian,dracut-core,usr/lib/systemd/system/dracut-mount.service
debian,dracut-core,usr/lib/systemd/system/dracut-pre-mount.service
debian,dracut-core,usr/lib/systemd/system/dracut-pre-pivot.service
debian,dracut-core,usr/lib/systemd/system/dracut-pre-trigger.service
debian,dracut-core,usr/lib/systemd/system/dracut-pre-udev.service
debian,dracut-core,usr/lib/systemd/system/dracut-shutdown-onfailure.service
debian,dracut-core,usr/lib/systemd/system/dracut-shutdown.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-cmdline.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-initqueue.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-mount.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-pre-mount.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-pre-pivot.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-pre-trigger.service
debian,dracut-core,usr/lib/systemd/system/initrd.target.wants/dracut-pre-udev.service
debian,dracut-core,usr/lib/systemd/system/sysinit.target.wants/dracut-shutdown.service
debian,drbd-utils,usr/lib/systemd/system/drbd-demote-or-escalate@.service
