canonical_upstream_id,selection_hash,distribution_count,distributions,eligible_cross_family_pairs,package_count
https://valkey.io,0109bdd21d6d96956822f4e63e34a315c93a0b79be29447a4641f599d71df0bf,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,7
https://cisofy.com/lynis,013c2a383aeb5ff9f1c02f209ee58318228d002bd8d77c438bfaff7ad3795c90,2,arch;ubuntu,Ubuntu ↔ Arch,2
https://gitlab.freedesktop.org/pipewire/rtkit,0196ff31a73e96071640ea8c6bb0d4a9ad4a295a3d6c3a4d00653ad996f624a7,2,arch;ubuntu,Ubuntu ↔ Arch,2
https://github.com/prehor/amavisd-milter,0257dba441e99379fa67514f5848ab5092edfb56c32f77ee2358415647b7cf55,2,fedora;ubuntu,Ubuntu ↔ Fedora,2
https://gitlab.com/amavis/amavis,02d625e4b0df3ebf764c998e7adb0403ba34fc7948d1f2549e778ad07edb370e,2,arch;fedora,Fedora ↔ Arch,3
https://nextcloud.com,04f044507036b03c5fef14722cccaf4e08badbb550d684e3f80726178d6c0d52,2,arch;fedora,Fedora ↔ Arch,2
https://www.opendnssec.org,055c808b22d08eba312036260fab0ba9aa030d07f8035bca07ec7c179eb2966f,2,fedora;ubuntu,Ubuntu ↔ Fedora,3
https://netplan.io,06096e423f359317981fc1445d198dc5bc96685a073d7c3a5e9ceecd02e934a0,2,fedora;ubuntu,Ubuntu ↔ Fedora,2
https://github.com/rpm-software-management/dnf5,06bf592f0107beacd91ca124ebd41c8c39f0b975e6f4f8273aed357d7908e9a8,3,arch;fedora;ubuntu,Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,5
https://unix4lyfe.org/darkstat,074ae08625e6a73488fd716ea85ec33b409e117c7013693a410cdebd40b0ed1c,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,4
https://www.strongswan.org,082f960f65dbb4e40c58f19d19e6f1252563336255e9d9489b72a3ada845785b,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,6
https://www.freedesktop.org/wiki/Software/Plymouth,08658747648bcfed971414fce35e7102d9821531dfdc121b3d28928186d0932e,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,4
https://github.com/vmware/open-vm-tools,0868e33b7da19502462879b17a61dd17ee11be1a1986e00d559e2fa80b6577bd,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,6
https://www.cyrusimap.org,09724b6a479dea4a1ddf194fa45ac46d781f08a7c51d4905bcd44ae714c6d908,3,debian;fedora;ubuntu,Debian ↔ Fedora;Ubuntu ↔ Fedora,3
https://github.com/linux-msm/tqftpserv,0a5fb63413dd4d43dbe1cb69930f7946221d5e68b9f6843f6deb23b81fb0183f,3,debian;fedora;ubuntu,Debian ↔ Fedora;Ubuntu ↔ Fedora,3
https://www.draisberghof.de/usb_modeswitch,0a95a1783bcee64be23480e78c51296dae59e68201bc39454bbb909aad0c2778,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,4
https://quassel-irc.org,0b682361770b7325edd30020f2ccc3e9b4d070b579f6c2a0db20890cfd2f1fec,2,arch;fedora,Fedora ↔ Arch,2
https://pcsclite.apdu.fr,0b865891891edf9741b8801a829a10f4c96e61363991d753fde5816b9b9084d3,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,5
https://invent.kde.org/plasma/drkonqi,0c2234aa0e63d5dee28c3ef7edd0517aa925bb6cc80f27a4499bf59fae45e367,3,debian;fedora;ubuntu,Debian ↔ Fedora;Ubuntu ↔ Fedora,3
https://git.kernel.org/pub/scm/network/connman/connman,0d17e33cb3be67dc7894a35c3418e4cf14f6e29dae4e2474fbe8fb5dd0a74aaa,3,arch;debian;ubuntu,Debian ↔ Arch;Ubuntu ↔ Arch,5
https://www.lirc.org,0d318b88d44133a2136add08b495274a826e3988876dfe0f0595057b32b0be4f,2,arch;fedora,Fedora ↔ Arch,2
https://www.atoptool.nl,0d927d67fbf39f4fa0f750d5828d31a3d101f941dd2c3857ec9ea4711700c2c9,2,arch;fedora,Fedora ↔ Arch,2
https://github.com/ximion/btrfsd,0d9d61ea2b0281f5c3439e4c9e1efed9f6a8d590fbbe05db172064b7bf242b58,3,debian;fedora;ubuntu,Debian ↔ Fedora;Ubuntu ↔ Fedora,3
https://github.com/neocturne/fastd,0e16f82b00988cb497a71098c51ef8e623462d4e5b48ac24da352f14b0811acd,2,arch;fedora,Fedora ↔ Arch,2
https://github.com/ddccontrol/ddccontrol,0e5591cd9254d18e3044833b86ba26c5899fac2236bf836f41760e4414967b13,3,debian;fedora;ubuntu,Debian ↔ Fedora;Ubuntu ↔ Fedora,3
https://miniupnp.tuxfamily.org,0ec0e506e5440f3612433a295d7a7099a8bfb0f6853f621fb915187522b1ccfc,3,arch;fedora;ubuntu,Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,3
https://nghttp2.org,1004394b8cc4737119840b97635959319ee7adc353285d06387b801ab3538a0e,3,debian;fedora;ubuntu,Debian ↔ Fedora;Ubuntu ↔ Fedora,3
https://github.com/NetworkBlockDevice/nbd,104b7541949d816b9870754f3141503c1f68ff8429c8ac6fa6190708ce59d115,2,arch;fedora,Fedora ↔ Arch,2
https://matt.ucc.asn.au/dropbear/dropbear.html,1121bad5aa6f5e006487dd81566ff043ea125120adc34898584c41f1cc7a5ed0,2,fedora;ubuntu,Ubuntu ↔ Fedora,2
https://www.freedesktop.org/software/colord,126f3ccc0f95397d3519f0fecb4aea561492a28b8f7ebf24e6b2c42645b7238f,4,arch;debian;fedora;ubuntu,Debian ↔ Fedora;Debian ↔ Arch;Ubuntu ↔ Fedora;Ubuntu ↔ Arch;Fedora ↔ Arch,4
