distribution,binary_package_id,package_version,canonical_upstream_id,unit_path,unit_basename,canonical_target,unit_hash,is_template_unit,package_owned,mask_state,exec_start,normalized_exec_lineage,root
debian,accountsservice,23.13.9-7,https://www.freedesktop.org/wiki/Software/AccountsService,usr/lib/systemd/system/accounts-daemon.service,accounts-daemon.service,usr/lib/systemd/system/accounts-daemon.service,d6dfc9ab8e4b70ffefebb856e31c86d144cf387fbbe2ed8eae7d04a49cfb3b06,False,True,UNMASKED,/usr/libexec/accounts-daemon,accounts-daemon,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/accountsservice-23.13.9-7
debian,acct,6.6.4-8,https://www.gnu.org/software/acct,usr/lib/systemd/system/acct.service,acct.service,usr/lib/systemd/system/acct.service,ebdf61070169a1432007c12eba35829e82fabbc0223ac94303f486284fe635a6,False,True,UNMASKED,/usr/sbin/accton /var/log/account/pacct,accton,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/acct-6.6.4-8
debian,acpid,1:2.0.34-1+b1,https://sourceforge.net/projects/acpid2,usr/lib/systemd/system/acpid.service,acpid.service,usr/lib/systemd/system/acpid.service,bcf070ae9872a05ff6b0c0dc52779bd928132a6739d3c672ab9668ebff11258c,False,True,UNMASKED,/usr/sbin/acpid $OPTIONS,acpid,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/acpid-1:2.0.34-1+b1
debian,alsa-utils,1.2.14-1,https://www.alsa-project.org,usr/lib/systemd/system/alsa-restore.service,alsa-restore.service,usr/lib/systemd/system/alsa-restore.service,690d1b251c0bdf6240a50e6aad7a00f2539fc872722411d7c33ffde929c41210,False,True,UNMASKED,-/usr/sbin/alsactl -E HOME=/run/alsa -E XDG_RUNTIME_DIR=/run/alsa/runtime restore,alsactl,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/alsa-utils-1.2.14-1
debian,alsa-utils,1.2.14-1,https://www.alsa-project.org,usr/lib/systemd/system/alsa-state.service,alsa-state.service,usr/lib/systemd/system/alsa-state.service,6a0d5228cf4bfe666706d3ea8dbb2c6a9bda482b36f67ffe3c962ea23b966263,False,True,UNMASKED,-/usr/sbin/alsactl -E HOME=/run/alsa -E XDG_RUNTIME_DIR=/run/alsa/runtime -s -n 19 -c rdaemon,alsactl,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/alsa-utils-1.2.14-1
debian,alsa-utils,1.2.14-1,https://www.alsa-project.org,usr/lib/systemd/system/alsa-utils.service,alsa-utils.service,usr/lib/systemd/system/alsa-utils.service,,False,True,MASKED_EFFECTIVE_UNIT,,,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/alsa-utils-1.2.14-1
debian,alsa-utils,1.2.14-1,https://www.alsa-project.org,usr/lib/systemd/system/sound.target.wants/alsa-restore.service,alsa-restore.service,usr/lib/systemd/system/alsa-restore.service,,False,True,UNMASKED,,,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/alsa-utils-1.2.14-1
debian,alsa-utils,1.2.14-1,https://www.alsa-project.org,usr/lib/systemd/system/sound.target.wants/alsa-state.service,alsa-state.service,usr/lib/systemd/system/alsa-state.service,,False,True,UNMASKED,,,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/alsa-utils-1.2.14-1
debian,ampr-ripd,2.4.1-1+b3,https://www.yo2loj.ro/hamprojects,usr/lib/systemd/system/ampr-ripd.service,ampr-ripd.service,usr/lib/systemd/system/ampr-ripd.service,e8826d0f751f568f68d9552ab595e6c1cc3ae7912cfa57a6f16c88461e11e703,False,True,UNMASKED,/usr/sbin/ampr-ripd -t 44 -i ampr0 -d,ampr-ripd,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/ampr-ripd-2.4.1-1+b3
debian,anope,2.0.17-1,https://www.anope.org,usr/lib/systemd/system/anope.service,anope.service,usr/lib/systemd/system/anope.service,56dc495e5c087927c400ea49cf80aa6bb70b23c6686a7a12519ba4d9933d031d,False,True,UNMASKED,/usr/sbin/anope $DAEMON_ARGS,anope,/home/emrecan/github/ecylmz/unittrace/artifacts/full/roots/packages/debian/anope-2.0.17-1
