subset,analysis,supporting_signal,pair,retained_projects,retained_matches,comparable_projects,comparable_matches,differing_matches,divergence_rate,ci_low,ci_high,analysis_classification,primary_membership_changed,observational_unit
EXECSTART_CORROBORATED,EXECSTART_CORROBORATED,package_owned_normalized_execstart_target_in_two_or_more_members,Debian ↔ Fedora,166,277,166,277,57,0.20577617328519857,0.13636363636363635,0.2952501389660921,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
EXECSTART_CORROBORATED,EXECSTART_CORROBORATED,package_owned_normalized_execstart_target_in_two_or_more_members,Debian ↔ Arch,125,181,125,181,58,0.32044198895027626,0.21924758156582347,0.4262316652286453,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
EXECSTART_CORROBORATED,EXECSTART_CORROBORATED,package_owned_normalized_execstart_target_in_two_or_more_members,Ubuntu ↔ Fedora,176,300,174,296,51,0.17229729729729729,0.1163972622688219,0.2480930166808029,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
EXECSTART_CORROBORATED,EXECSTART_CORROBORATED,package_owned_normalized_execstart_target_in_two_or_more_members,Ubuntu ↔ Arch,144,214,143,213,54,0.2535211267605634,0.18067226890756302,0.33803157106892556,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
EXECSTART_CORROBORATED,EXECSTART_CORROBORATED,package_owned_normalized_execstart_target_in_two_or_more_members,Fedora ↔ Arch,84,136,84,136,25,0.18382352941176472,0.10155722128378379,0.2880033898305084,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
UPSTREAM_HASH_CORROBORATED,UPSTREAM_HASH_CORROBORATED,shared_recovered_upstream_artifact_hash,Debian ↔ Fedora,120,252,120,252,34,0.1349206349206349,0.07017264498826684,0.25,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
UPSTREAM_HASH_CORROBORATED,UPSTREAM_HASH_CORROBORATED,shared_recovered_upstream_artifact_hash,Debian ↔ Arch,75,121,75,121,24,0.19834710743801653,0.08771078180889116,0.3391304347826087,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
UPSTREAM_HASH_CORROBORATED,UPSTREAM_HASH_CORROBORATED,shared_recovered_upstream_artifact_hash,Ubuntu ↔ Fedora,153,315,149,309,25,0.08090614886731391,0.044442993907745865,0.14068671785595627,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
UPSTREAM_HASH_CORROBORATED,UPSTREAM_HASH_CORROBORATED,shared_recovered_upstream_artifact_hash,Ubuntu ↔ Arch,87,153,87,153,14,0.0915032679738562,0.04894678492239468,0.15108367087842325,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
UPSTREAM_HASH_CORROBORATED,UPSTREAM_HASH_CORROBORATED,shared_recovered_upstream_artifact_hash,Fedora ↔ Arch,89,165,89,165,14,0.08484848484848485,0.041174456083803386,0.14074074074074075,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
STRONG_SIGNAL_UNION,STRONG_SIGNAL_UNION,byte_identical_unit_or_shared_upstream_hash_or_package_owned_execstart,Debian ↔ Fedora,176,332,176,332,61,0.18373493975903615,0.11522178520703595,0.2896558565955118,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
STRONG_SIGNAL_UNION,STRONG_SIGNAL_UNION,byte_identical_unit_or_shared_upstream_hash_or_package_owned_execstart,Debian ↔ Arch,130,192,130,192,61,0.3177083333333333,0.22099447513812154,0.42459449977059865,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
STRONG_SIGNAL_UNION,STRONG_SIGNAL_UNION,byte_identical_unit_or_shared_upstream_hash_or_package_owned_execstart,Ubuntu ↔ Fedora,216,403,212,396,58,0.14646464646464646,0.09218239109798544,0.22449158610812744,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
STRONG_SIGNAL_UNION,STRONG_SIGNAL_UNION,byte_identical_unit_or_shared_upstream_hash_or_package_owned_execstart,Ubuntu ↔ Arch,151,235,150,234,56,0.23931623931623933,0.1721311475409836,0.32,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
STRONG_SIGNAL_UNION,STRONG_SIGNAL_UNION,byte_identical_unit_or_shared_upstream_hash_or_package_owned_execstart,Fedora ↔ Arch,120,208,120,208,33,0.15865384615384615,0.09595959595959595,0.23469387755102042,matching-construct-validity sensitivity analysis,False,pairwise C1X lineage
