pair,scope,lineages,projects,median,median_ci_low,median_ci_high,iqr_low,iqr_high,p90,maximum,exactly_one,two_to_three,four_or_more,analysis_classification,observational_unit
Debian ↔ Fedora,ALL_COMPARABLE,335,178,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6944444444444444,12,26,23,derived descriptive analysis,cross-family lineage
Debian ↔ Fedora,DIVERGENT_ONLY,61,45,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.08333333333333333,0.19444444444444445,0.4722222222222222,0.6944444444444444,12,26,23,derived descriptive analysis,cross-family lineage
Debian ↔ Arch,ALL_COMPARABLE,192,130,0.0,0.0,0.0,0.0,0.0625,0.19444444444444445,0.6944444444444444,12,20,29,derived descriptive analysis,cross-family lineage
Debian ↔ Arch,DIVERGENT_ONLY,61,47,0.08333333333333333,0.08333333333333333,0.19444444444444445,0.08333333333333333,0.2777777777777778,0.5277777777777778,0.6944444444444444,12,20,29,derived descriptive analysis,cross-family lineage
Ubuntu ↔ Fedora,ALL_COMPARABLE,434,239,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6944444444444444,18,25,35,derived descriptive analysis,cross-family lineage
Ubuntu ↔ Fedora,DIVERGENT_ONLY,78,66,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.05555555555555555,0.19444444444444445,0.5,0.6944444444444444,18,25,35,derived descriptive analysis,cross-family lineage
Ubuntu ↔ Arch,ALL_COMPARABLE,238,152,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.6666666666666666,12,11,34,derived descriptive analysis,cross-family lineage
Ubuntu ↔ Arch,DIVERGENT_ONLY,57,50,0.16666666666666666,0.08333333333333333,0.2777777777777778,0.08333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,12,11,34,derived descriptive analysis,cross-family lineage
Fedora ↔ Arch,ALL_COMPARABLE,258,156,0.0,0.0,0.0,0.0,0.0,0.09166666666666698,0.6666666666666666,14,15,26,derived descriptive analysis,cross-family lineage
Fedora ↔ Arch,DIVERGENT_ONLY,55,48,0.08333333333333333,0.08333333333333333,0.19444444444444445,0.041666666666666664,0.2777777777777778,0.5611111111111112,0.6666666666666666,14,15,26,derived descriptive analysis,cross-family lineage
