pair,source_category,numerator,denominator,projects,proportion,ci_low,ci_high,analysis_classification,observational_unit
Debian ↔ Fedora,UPSTREAM_DIFFERENCE_INHERITED,60,95,18,0.631578947368421,0.23636363636363636,0.8429792578188299,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Debian ↔ Fedora,DOWNSTREAM_INTRODUCED,35,95,18,0.3684210526315789,0.15215744400527012,0.7619196428571426,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Debian ↔ Fedora,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,95,18,0.0,0.0,0.0,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Debian ↔ Arch,UPSTREAM_DIFFERENCE_INHERITED,28,42,10,0.6666666666666666,0.23529411764705882,0.973701079622132,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Debian ↔ Arch,DOWNSTREAM_INTRODUCED,14,42,10,0.3333333333333333,0.02564102564102564,0.7714285714285715,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Debian ↔ Arch,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,42,10,0.0,0.0,0.0,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Ubuntu ↔ Fedora,UPSTREAM_DIFFERENCE_INHERITED,69,115,22,0.6,0.23375541125541124,0.8012831125827815,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Ubuntu ↔ Fedora,DOWNSTREAM_INTRODUCED,46,115,22,0.4,0.1957833047455689,0.763176169590643,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Ubuntu ↔ Fedora,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,115,22,0.0,0.0,0.0,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Ubuntu ↔ Arch,UPSTREAM_DIFFERENCE_INHERITED,25,39,9,0.6410256410256411,0.17777777777777778,0.9736842105263158,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Ubuntu ↔ Arch,DOWNSTREAM_INTRODUCED,14,39,9,0.358974358974359,0.02857142857142857,0.8421052631578947,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Ubuntu ↔ Arch,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,39,9,0.0,0.0,0.0,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Fedora ↔ Arch,UPSTREAM_DIFFERENCE_INHERITED,40,146,16,0.273972602739726,0.031243943798449615,0.5882352941176471,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Fedora ↔ Arch,DOWNSTREAM_INTRODUCED,106,146,16,0.726027397260274,0.4078884512236004,0.9569930875576037,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
Fedora ↔ Arch,DOWNSTREAM_AMPLIFIED_OR_MODIFIED,0,146,16,0.0,0.0,0.0,post-hoc exploratory/explanatory,provenance-resolved E-differing cross-family lineage-assessment-family
