pair,family_type,assessment_id,assessment_family,different,comparable,projects,rate,ci_low,ci_high,cohort
Debian ↔ Fedora,CROSS_FAMILY,AmbientCapabilities,AmbientCapabilities,2,335,178,0.005970149253731343,0.0,0.016877637130801686,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_AUDIT,CapabilityBoundingSet,11,335,178,0.03283582089552239,0.012658227848101266,0.06498194945848375,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_BLOCK_SUSPEND,CapabilityBoundingSet,10,335,178,0.029850746268656716,0.01162723250418173,0.059480660293857304,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_BPF,CapabilityBoundingSet,11,335,178,0.03283582089552239,0.012269938650306749,0.06538461538461539,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_CHOWN_FSETID_SETFCAP,CapabilityBoundingSet,7,335,178,0.020895522388059702,0.005796961557831123,0.04593741115308069,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_DAC_FOWNER_IPC_OWNER,CapabilityBoundingSet,6,335,178,0.01791044776119403,0.0035967999793713418,0.04230769230769231,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_IPC_LOCK,CapabilityBoundingSet,10,335,178,0.029850746268656716,0.010945452752022097,0.05992538900506858,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_KILL,CapabilityBoundingSet,12,335,178,0.03582089552238806,0.015526748456819799,0.069108818011257,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_LEASE,CapabilityBoundingSet,10,335,178,0.029850746268656716,0.010450973730247084,0.06060606060606061,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_LINUX_IMMUTABLE,CapabilityBoundingSet,11,335,178,0.03283582089552239,0.012538694374537016,0.06488673540200256,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_MAC,CapabilityBoundingSet,11,335,178,0.03283582089552239,0.012244585907757599,0.06530808477237046,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_MKNOD,CapabilityBoundingSet,12,335,178,0.03582089552238806,0.01503702951071372,0.07055414281478775,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_NET_ADMIN,CapabilityBoundingSet,9,335,178,0.026865671641791045,0.010452734236406146,0.051284584980237115,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_NET_BIND_SERVICE_BROADCAST_RAW),CapabilityBoundingSet,4,335,178,0.011940298507462687,0.0,0.031500914938449524,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_SET_UID_GID_PCAP,CapabilityBoundingSet,10,335,178,0.029850746268656716,0.011151383725733169,0.06071464719491035,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_SYSLOG,CapabilityBoundingSet,14,335,178,0.041791044776119404,0.01858671370289549,0.08,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_SYS_ADMIN,CapabilityBoundingSet,9,335,178,0.026865671641791045,0.009584664536741214,0.056392493330099415,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_SYS_BOOT,CapabilityBoundingSet,10,335,178,0.029850746268656716,0.01140641104480456,0.06153846153846154,C1X
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet_CAP_SYS_CHROOT,CapabilityBoundingSet,8,335,178,0.023880597014925373,0.0072284812326228,0.051589412360688924,C1X
