pair,family_type,left_distribution,right_distribution,lineage_id,project,different_dimensions,comparable_dimensions,disagreement_proportion,differing,cohort
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://arthurdejong.org/nss-pam-ldapd::nslcd,https://arthurdejong.org/nss-pam-ldapd,12,81,0.14814814814814814,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://avahi.org::avahi-daemon,https://avahi.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://avahi.org::avahi-dnsconfd,https://avahi.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://c-icap.sourceforge.net::c-icap,https://c-icap.sourceforge.net,3,81,0.037037037037037035,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://ceph.com::ceph-crash,https://ceph.com,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://ceph.com::rbdmap,https://ceph.com,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://christophe.varoqui.free.fr::multipathd,https://christophe.varoqui.free.fr,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://chrony-project.org::upstream-unit::examples/chrony-wait.service,https://chrony-project.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://cockpit-project.org::cockpit-tls,https://cockpit-project.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://cockpit-project.org::cockpit-ws,https://cockpit-project.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://cockpit-project.org::update-issue,https://cockpit-project.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://cockpit-project.org::upstream-unit::src/systemd/cockpit-session-socket-user.service,https://cockpit-project.org,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://cockpit-project.org::upstream-unit::src/systemd/cockpit-wsinstance-socket-user.service,https://cockpit-project.org,4,81,0.04938271604938271,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://code.kryo.se/iodine::iodined,https://code.kryo.se/iodine,0,81,0.0,False,C1X
