transition,distribution,assessment_id,assessment_family,category,numerator,denominator,projects,proportion,cohort
P_E,arch,AmbientCapabilities,AmbientCapabilities,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_AUDIT,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_BLOCK_SUSPEND,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_BPF,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_CHOWN_FSETID_SETFCAP,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_DAC_FOWNER_IPC_OWNER,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_IPC_LOCK,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_KILL,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_LEASE,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_LINUX_IMMUTABLE,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_MAC,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_MKNOD,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_NET_ADMIN,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_NET_BIND_SERVICE_BROADCAST_RAW),CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SET_UID_GID_PCAP,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYSLOG,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_ADMIN,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_BOOT,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_CHROOT,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_MODULE,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_NICE_RESOURCE,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_PACCT,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_PTRACE,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_RAWIO,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_TIME,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_SYS_TTY_CONFIG,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,CapabilityBoundingSet_CAP_WAKE_ALARM,CapabilityBoundingSet,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,Delegate,Delegate,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,DeviceAllow,DeviceAllow,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,IPAddressDeny,IPAddressDeny,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,KeyringMode,KeyringMode,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,LockPersonality,LockPersonality,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,MemoryDenyWriteExecute,MemoryDenyWriteExecute,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,NoNewPrivileges,NoNewPrivileges,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,NotifyAccess,NotifyAccess,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,PrivateDevices,PrivateDevices,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,PrivateMounts,PrivateMounts,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,PrivateNetwork,PrivateNetwork,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,PrivateTmp,PrivateTmp,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,PrivateUsers,PrivateUsers,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,ProcSubset,ProcSubset,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,ProtectClock,ProtectClock,INHERITED_SAME,351,351,219,1.0,C1X
P_E,arch,ProtectControlGroups,ProtectControlGroups,INHERITED_SAME,351,351,219,1.0,C1X
