transition,distribution,semantic_category,numerator,denominator,projects,proportion,ci_low,ci_high,cohort,observational_unit
P_E,arch,UNCHANGED,28431,28431,219,1.0,1.0,1.0,C1X,resolved dimension
P_E,debian,UNCHANGED,33210,33210,232,1.0,1.0,1.0,C1X,resolved dimension
P_E,fedora,UNCHANGED,45036,45036,313,1.0,1.0,1.0,C1X,resolved dimension
P_E,ubuntu,UNCHANGED,42525,42525,302,1.0,1.0,1.0,C1X,resolved dimension
U_P,arch,CHANGED_EQUAL_EXPOSURE,10,16076,116,0.0006220452848967405,6.189469136506389e-05,0.001391014568585127,C3X,resolved dimension
U_P,arch,RELAXED_UNDER_FIXED_POLICY,6,16076,116,0.0003732271709380443,6.589420539164372e-05,0.0007756885120766873,C3X,resolved dimension
U_P,arch,TIGHTENED_UNDER_FIXED_POLICY,212,16076,116,0.013187360039810898,0.0028805227887116146,0.027566838247210616,C3X,resolved dimension
U_P,arch,UNCHANGED,15848,16076,116,0.9858173675043543,0.9708766155565816,0.9967511868521908,C3X,resolved dimension
U_P,debian,CHANGED_EQUAL_EXPOSURE,7,19574,145,0.00035761724736895883,0.00011706278912039721,0.0006803615209574967,C3X,resolved dimension
U_P,debian,RELAXED_UNDER_FIXED_POLICY,60,19574,145,0.0030652906917339327,0.0008201398624456657,0.0067965929025644,C3X,resolved dimension
U_P,debian,TIGHTENED_UNDER_FIXED_POLICY,16,19574,145,0.0008174108511290487,0.0003480631763194789,0.0014977663788988522,C3X,resolved dimension
U_P,debian,UNCHANGED,19491,19574,145,0.9957596812097681,0.9916753096773362,0.9982835688002883,C3X,resolved dimension
U_P,fedora,CHANGED_EQUAL_EXPOSURE,12,28298,203,0.00042405823733126017,0.0001711531173686269,0.0007440614695245184,C3X,resolved dimension
U_P,fedora,RELAXED_UNDER_FIXED_POLICY,88,28298,203,0.003109760407095908,0.0005832344449574608,0.006548175328040825,C3X,resolved dimension
U_P,fedora,TIGHTENED_UNDER_FIXED_POLICY,76,28298,203,0.0026857021697646475,0.0003358513301963195,0.007496795129036077,C3X,resolved dimension
U_P,fedora,UNCHANGED,28122,28298,203,0.9937804791858081,0.9874164533576264,0.9978651951581184,C3X,resolved dimension
U_P,ubuntu,CHANGED_EQUAL_EXPOSURE,10,25625,187,0.0003902439024390244,0.00016187280492755156,0.0006842307271520865,C3X,resolved dimension
U_P,ubuntu,RELAXED_UNDER_FIXED_POLICY,61,25625,187,0.002380487804878049,0.0006845795961631251,0.005138935106345342,C3X,resolved dimension
U_P,ubuntu,TIGHTENED_UNDER_FIXED_POLICY,24,25625,187,0.0009365853658536585,0.00039137411576071714,0.001783268317259631,C3X,resolved dimension
U_P,ubuntu,UNCHANGED,25530,25625,187,0.9962926829268293,0.993167796670789,0.9983554255948821,C3X,resolved dimension
