distribution,layer,lineages,projects,median_exposure,ci_low,ci_high,iqr_low,iqr_high,cohort,construct
arch,E,351,219,12.299999999999985,11.999999999999986,12.499999999999984,8.949999999999996,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
arch,P,351,219,12.299999999999985,11.949999999999987,12.499999999999984,8.949999999999996,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
arch,U,169,104,12.499999999999984,12.199999999999987,12.499999999999984,11.39999999999999,12.499999999999984,C3F,sum of per-assessment exposure under pinned systemd policy
debian,E,410,232,12.199999999999987,11.799999999999986,12.299999999999986,11.12499999999999,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
debian,P,410,232,12.199999999999987,11.799999999999986,12.299999999999986,11.12499999999999,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
debian,U,205,124,12.499999999999984,11.799999999999986,12.499999999999984,11.799999999999986,12.499999999999984,C3F,sum of per-assessment exposure under pinned systemd policy
fedora,E,556,313,12.199999999999987,11.799999999999986,12.499999999999984,11.799999999999986,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
fedora,P,556,313,12.199999999999987,11.799999999999986,12.499999999999984,11.799999999999986,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
fedora,U,302,178,12.499999999999984,11.799999999999986,12.499999999999984,11.799999999999986,12.499999999999984,C3F,sum of per-assessment exposure under pinned systemd policy
ubuntu,E,525,302,12.199999999999987,11.799999999999986,12.449999999999985,11.299999999999988,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
ubuntu,P,525,302,12.199999999999987,11.799999999999986,12.451249999999966,11.299999999999988,12.499999999999984,C1X,sum of per-assessment exposure under pinned systemd policy
ubuntu,U,279,168,12.499999999999984,11.799999999999986,12.499999999999984,11.799999999999986,12.499999999999984,C3F,sum of per-assessment exposure under pinned systemd policy
